metric,method,count,mean,std,min,25%,50%,75%,max,sum
has_err,cot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err,formatog_d3_p3,100.0,0.45,0.5,0.0,0.0,0.0,1.0,1.0,45.0
has_err,formatog_noctx_d3_p3,100.0,0.49,0.5024183937956914,0.0,0.0,0.0,1.0,1.0,49.0
has_err,io_few_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err,io_zero_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err,tog_d3_p3,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0
has_err_and_correct,cot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,formatog_d3_p3,100.0,0.01,0.09999999999999999,0.0,0.0,0.0,0.0,1.0,1.0
has_err_and_correct,formatog_noctx_d3_p3,100.0,0.01,0.09999999999999999,0.0,0.0,0.0,0.0,1.0,1.0
has_err_and_correct,io_few_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,io_zero_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,tog_d3_p3,100.0,0.02,0.14070529413628968,0.0,0.0,0.0,0.0,1.0,2.0
has_err_instruction,cot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_instruction,formatog_d3_p3,100.0,0.25,0.4351941398892446,0.0,0.0,0.0,0.25,1.0,25.0
has_err_instruction,formatog_noctx_d3_p3,100.0,0.29,0.45604802157206864,0.0,0.0,0.0,1.0,1.0,29.0
has_err_instruction,io_few_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_instruction,io_zero_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_instruction,tog_d3_p3,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0
has_err_format,cot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_noctx_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,io_few_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,io_zero_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,tog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,cot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_noctx_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,io_few_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
