question_index,expected_answer,answer,has_err_instruction,has_err_format,has_err_graph,has_err_other,has_err_agent,is_kg_based_answer,kg_calls,agent_calls,reached_depth,start_timestamp,duration,exact_match,f1,is_no_answer,is_kg_and_correct,has_err,has_err_and_correct,method,rep
0,Bernhard Riemann,Bernhard Riemann,0,0,0,0,0,0,0,1,0,1768148502.579825,1.551506757736206,1,1.0,0,0,0,0,io_few_shot,1
1,emu,Koko the Magpie,0,0,0,0,0,0,0,1,0,1768148629.2632763,1.8767125606536863,0,0.0,0,0,0,0,io_few_shot,1
2,Yennefer of Vengerberg,Geralt of Rivia,0,0,0,0,0,0,0,1,0,1768148752.9889543,1.7930443286895752,0,0.3333333333333333,0,0,0,0,io_few_shot,1
3,Ma Huateng,Pony Ma,0,0,0,0,0,0,0,1,0,1768148879.2781427,1.8949809074401855,0,0.5,0,0,0,0,io_few_shot,1
4,Yu Yu Hakusho,Yu Yu Hakusho,0,0,0,0,0,0,0,1,0,1768148948.9236162,1.9726855754852295,1,1.0,0,0,0,0,io_few_shot,1
5,New York Stock Exchange; Frankfurt Stock Exchange; SIX Swiss Exchange; XETRA,Frankfurt and Munich,0,0,0,0,0,0,0,1,0,1768148987.4593165,1.6923401355743408,0,0.14285714285714288,0,0,0,0,io_few_shot,1
6,Time of Contempt; The Last Wish; The Tower of the Swallow,"The Continent's History, The Book of Swords, The Book of Lore, The World of the Witcher",0,0,0,0,0,0,0,1,0,1768149038.5210936,2.8597660064697266,0,0.2105263157894737,0,0,0,0,io_few_shot,1
7,+100,100°C,0,0,0,0,0,0,0,1,0,1768149092.19287,1.567838191986084,0,0.0,0,0,0,0,io_few_shot,1
8,Kyoto City University of Arts,Seijo Gakuen,0,0,0,0,0,0,0,1,0,1768149143.5456123,1.8473284244537351,0,0.0,0,0,0,0,io_few_shot,1
9,Eastside High School,Columbia University High School,0,0,0,0,0,0,0,1,0,1768149204.3999074,1.6655254364013672,0,0.5714285714285715,0,0,0,0,io_few_shot,1
