question_index,expected_answer,answer,has_err_instruction,has_err_format,has_err_graph,has_err_other,has_err_agent,is_kg_based_answer,kg_calls,agent_calls,reached_depth,start_timestamp,duration,exact_match,f1,is_no_answer,is_kg_and_correct,has_err,has_err_and_correct,method,rep
0,https://www.langenachtderwissenschaften.de/programm/detail/51327,https://wwwphysik.tu-berlin.de/forschung/hausderphysik/,0,0,0,0,0,1,2,2,1,1768021791.483509,16.58697533607483,0,0.0,0,0,0,0,formatog_d3_p1,1
1,"Im Kleinsten wird unsere Welt durch die Quantentheorie beschrieben, wie sie vor 100 Jahren formuliert wurde. Ihre Gesetze faszinieren heute nicht weniger als damals, denn sie widersprechen unserer Alltagserfahrung auf bizarre Weise: Teilchen können an verschiedenen Orten gleichzeitig sein sowie durch Barrieren „tunneln“. Und bei der Messung des einen Quantensystems verändert sich auch der Zustand eines anderen, wenn dieses mit dem ersten „verschränkt“ ist. Erkunden Sie die faszinierenden Eigenschaften der Quantenwelt mit Hilfe interaktiver Simulationen und Visualisierungen.",Die Veranstaltung ist ein Programm der Lange Nacht der Wissenschaften 2025,0,0,0,0,0,1,2,2,1,1768022163.785009,15.831233501434326,0,0.02702702702702703,0,0,0,0,formatog_d3_p1,1
2,"Wie kann man Dinge zum Schweben bringen? Student:innen des Projektlabors Physik zeigen euch physikalische Zaubertricks, die Alltagsgegenstände schwerelos machen können. Auch lebendige Flüssigkeiten und optische Täuschungen laden zum Mitmachen und Anfassen ein. Geeignet für Kinder ab 6 Jahren.",,0,0,0,1,0,0,2,2,2,1768022453.9934654,9.93637490272522,0,0.0,1,0,1,0,formatog_d3_p1,1
3,Programmieren lernen für Kinder und Einsteiger:innen,Demonstration,0,0,0,0,0,1,2,3,1,1768022827.6324897,22.969679355621334,0,0.0,0,0,0,0,formatog_d3_p1,1
4,"Im Kleinsten wird unsere Welt durch die Quantentheorie beschrieben, wie sie vor 100 Jahren formuliert wurde. Ihre Gesetze faszinieren heute nicht weniger als damals, denn sie widersprechen unserer Alltagserfahrung auf bizarre Weise: Teilchen können an verschiedenen Orten gleichzeitig sein sowie durch Barrieren „tunneln“. Und bei der Messung des einen Quantensystems verändert sich auch der Zustand eines anderen, wenn dieses mit dem ersten „verschränkt“ ist. Erkunden Sie die faszinierenden Eigenschaften der Quantenwelt mit Hilfe interaktiver Simulationen und Visualisierungen.",Quantenphysik,0,0,0,0,0,1,2,2,1,1768023204.0534756,13.79355788230896,0,0.0,0,0,0,0,formatog_d3_p1,1
5,https://www.langenachtderwissenschaften.de/programm/detail/51248,https://science-slam.de/,0,0,0,1,0,0,2,3,2,1768021798.7969491,14.32167911529541,0,0.0,0,0,1,0,formatog_d3_p1,1
6,"Unsere Forschungsgruppe baut Organoide, organähnliche Strukturen, aus humanen Stammzellen, um Tierexperimente in der Forschung zu reduzieren. Durch die Kombination von Organoiden simulieren wir in sogenannten Organ-Chips die komplexen Organ-Interaktionen des menschlichen Körpers. Wir erklären Konzept und Funktionsweise solcher Organ-Chips. Es werden Anwendungsgebiete in der Aufklärung pathologischer Prozesse und in der Medikamenten-Entwicklung zur Reduktion von Tierexperimenten dargestellt. Besucher:innen können Organ-Chips zusammenbauen und die magnetische Zellsortierung ausprobieren.",Demonstration,0,0,0,0,0,1,2,3,1,1768022145.9157803,27.374484539031982,0,0.0,0,0,0,0,formatog_d3_p1,1
7,https://www.langenachtderwissenschaften.de/programm/detail/51514,https://fsttue.de/,1,0,0,0,0,0,1,2,1,1768022563.4452248,11.235551118850708,0,0.0,0,0,1,0,formatog_d3_p1,1
8,"Gestalte Straßen, Radwege, Brücken und mehr mit Klemmbausteinen, und lerne spielerisch, wie moderne Verkehrsplanung funktioniert. Ihr lernt die Funktionen von Straßen kennen, die passenden Verkehrsmittel, um verschiedene Orte zu erreichen, sowie ein Konzept, wie Verkehr nachhaltiger werden kann. Für Kinder ab 6 Jahren und Erwachsene – für alle Altersgruppen ist etwas dabei! Jeder Gast erhält Bausteine, um unsere Stadt wachsen zu lassen. Komm vorbei, und werde Verkehrsplaner:in für einen Abend!",Veranstaltung,0,0,0,0,0,1,2,2,1,1768022924.591956,11.276698589324951,0,0.0,0,0,0,0,formatog_d3_p1,1
9,"Testen Sie Ihr Wissen über das Universum, und gewinnen Sie kleine Preise – solange der Vorrat reicht! Geeignet ab 6 Jahren.",Astronomie,1,0,0,0,0,0,2,3,1,1768023204.9955745,32.23527526855469,0,0.0,0,0,1,0,formatog_d3_p1,1
10,Chatbots zur Stärkung der Demokratie,Haus der Zukunft,1,0,0,0,0,0,1,2,1,1768023636.8090734,11.552866458892822,0,0.0,0,0,1,0,formatog_d3_p1,1
11,Live-Musik,Workshop,1,0,0,0,0,0,1,2,1,1768023878.219337,10.502902030944824,0,0.0,0,0,1,0,formatog_d3_p1,1
12,17:00-21:30 Uhr,Technische Universität Berlin,0,0,0,0,0,1,2,2,1,1768024218.0031364,13.604297161102297,0,0.0,0,0,0,0,formatog_d3_p1,1
13,https://www.langenachtderwissenschaften.de/programm/detail/51498,https://www.langenachtderwissenschaften.de,0,0,0,0,0,1,2,2,1,1768024587.3304298,14.167233943939207,0,0.0,0,0,0,0,formatog_d3_p1,1
14,25,25 Jahre,0,0,0,0,0,1,2,2,1,1768024970.0360386,17.495866537094116,0,0.6666666666666666,0,0,0,0,formatog_d3_p1,1
15,https://www.langenachtderwissenschaften.de/programm/detail/51151,,1,0,0,0,0,0,1,2,1,1768023923.5748456,13.152786493301392,0,0.0,1,0,1,0,formatog_d3_p1,1
16,Juri Mertens,Lange Nacht der Wissenschaften 2025,0,0,0,0,0,1,2,2,1,1768024166.0142796,16.421480894088745,0,0.0,0,0,0,0,formatog_d3_p1,1
