metric,method,count,mean,std,min,25%,50%,75%,max,sum
has_err,cot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err,formatog_d3_p3,100.0,0.37,0.4852365870939097,0.0,0.0,0.0,1.0,1.0,37.0
has_err,formatog_noctx_d3_p3,100.0,0.37,0.4852365870939097,0.0,0.0,0.0,1.0,1.0,37.0
has_err,io_few_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err,io_zero_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err,tog_d3_p3,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0
has_err_and_correct,cot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,formatog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,formatog_noctx_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,io_few_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,io_zero_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,tog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_instruction,cot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_instruction,formatog_d3_p3,100.0,0.07,0.2564323999762428,0.0,0.0,0.0,0.0,1.0,7.0
has_err_instruction,formatog_noctx_d3_p3,100.0,0.02,0.14070529413628965,0.0,0.0,0.0,0.0,1.0,2.0
has_err_instruction,io_few_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_instruction,io_zero_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_instruction,tog_d3_p3,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0
has_err_format,cot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_noctx_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,io_few_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,io_zero_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,tog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,cot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_noctx_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,io_few_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,io_zero_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,tog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_other,cot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_other,formatog_d3_p3,100.0,0.3,0.4605661864718382,0.0,0.0,0.0,1.0,1.0,30.0
has_err_other,formatog_noctx_d3_p3,100.0,0.35,0.4793724854411023,0.0,0.0,0.0,1.0,1.0,35.0
has_err_other,io_few_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_other,io_zero_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_other,tog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,cot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_noctx_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,io_few_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,io_zero_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,tog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_based_answer,cot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_based_answer,formatog_d3_p3,100.0,0.63,0.4852365870939097,0.0,0.0,1.0,1.0,1.0,63.0
is_kg_based_answer,formatog_noctx_d3_p3,100.0,0.63,0.4852365870939097,0.0,0.0,1.0,1.0,1.0,63.0
is_kg_based_answer,io_few_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_based_answer,io_zero_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_based_answer,tog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_and_correct,cot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_and_correct,formatog_d3_p3,100.0,0.24,0.42923469599092784,0.0,0.0,0.0,0.0,1.0,24.0
is_kg_and_correct,formatog_noctx_d3_p3,100.0,0.24,0.42923469599092784,0.0,0.0,0.0,0.0,1.0,24.0
is_kg_and_correct,io_few_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_and_correct,io_zero_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_and_correct,tog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kg_calls,cot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
