metric,method,count,mean,std,min,25%,50%,75%,max,sum
has_err,cot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err,formatog_d3_p3,3531.0,0.6037949589351459,0.4891772440297723,0.0,0.0,1.0,1.0,1.0,2132.0
has_err,formatog_noctx_d3_p3,3531.0,0.6100254885301615,0.48781326760626376,0.0,0.0,1.0,1.0,1.0,2154.0
has_err,io_few_shot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err,io_zero_shot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err,tog_d3_p3,3531.0,0.9762107051826678,0.15241372354929134,0.0,1.0,1.0,1.0,1.0,3447.0
has_err_and_correct,cot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,formatog_d3_p3,3531.0,0.0951571792693288,0.29347347765436227,0.0,0.0,0.0,0.0,1.0,336.0
has_err_and_correct,formatog_noctx_d3_p3,3531.0,0.09713962050410649,0.2961897361839296,0.0,0.0,0.0,0.0,1.0,343.0
has_err_and_correct,io_few_shot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,io_zero_shot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,tog_d3_p3,3531.0,0.0464457660719343,0.21047827255876292,0.0,0.0,0.0,0.0,1.0,164.0
has_err_instruction,cot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_instruction,formatog_d3_p3,3531.0,0.3542905692438403,0.4783655179916158,0.0,0.0,0.0,1.0,1.0,1251.0
has_err_instruction,formatog_noctx_d3_p3,3531.0,0.35089209855564996,0.4773168307416164,0.0,0.0,0.0,1.0,1.0,1239.0
has_err_instruction,io_few_shot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_instruction,io_zero_shot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_instruction,tog_d3_p3,3531.0,0.9512885868026055,0.2152945389625473,0.0,1.0,1.0,1.0,1.0,3359.0
has_err_format,cot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d3_p3,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_noctx_d3_p3,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,io_few_shot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,io_zero_shot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,tog_d3_p3,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,cot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_d3_p3,3531.0,0.15066553384310394,0.3577732264788949,0.0,0.0,0.0,0.0,1.0,532.0
has_err_graph,formatog_noctx_d3_p3,3531.0,0.14953271028037382,0.35666329372561945,0.0,0.0,0.0,0.0,1.0,528.0
has_err_graph,io_few_shot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,io_zero_shot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,tog_d3_p3,3531.0,0.15378079864061173,0.3607895914161921,0.0,0.0,0.0,0.0,1.0,543.0
has_err_other,cot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_other,formatog_d3_p3,3531.0,0.09883885584820164,0.2984878031725415,0.0,0.0,0.0,0.0,1.0,349.0
has_err_other,formatog_noctx_d3_p3,3531.0,0.10960067969413764,0.31243561918500135,0.0,0.0,0.0,0.0,1.0,387.0
has_err_other,io_few_shot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_other,io_zero_shot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_other,tog_d3_p3,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,cot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d3_p3,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_noctx_d3_p3,3531.0,0.0002832058906825262,0.01682872219399103,0.0,0.0,0.0,0.0,1.0,1.0
has_err_agent,io_few_shot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,io_zero_shot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,tog_d3_p3,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_based_answer,cot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_based_answer,formatog_d3_p3,3531.0,0.39620504106485416,0.4891772440297724,0.0,0.0,0.0,1.0,1.0,1399.0
is_kg_based_answer,formatog_noctx_d3_p3,3531.0,0.3899745114698386,0.48781326760626387,0.0,0.0,0.0,1.0,1.0,1377.0
is_kg_based_answer,io_few_shot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_based_answer,io_zero_shot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_based_answer,tog_d3_p3,3531.0,0.045879354290569246,0.20925305214362896,0.0,0.0,0.0,0.0,1.0,162.0
is_kg_and_correct,cot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_and_correct,formatog_d3_p3,3531.0,0.09968847352024922,0.29962661245250816,0.0,0.0,0.0,0.0,1.0,352.0
is_kg_and_correct,formatog_noctx_d3_p3,3531.0,0.08836023789294817,0.2838582845646352,0.0,0.0,0.0,0.0,1.0,312.0
is_kg_and_correct,io_few_shot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_and_correct,io_zero_shot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_and_correct,tog_d3_p3,3531.0,0.013593882752761258,0.11581402209265033,0.0,0.0,0.0,0.0,1.0,48.0
kg_calls,cot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kg_calls,formatog_d3_p3,3531.0,3.1591617105635796,1.781916649508882,0.0,1.0,4.0,4.0,6.0,11155.0
kg_calls,formatog_noctx_d3_p3,3531.0,3.167374681393373,1.7790153532210395,0.0,1.0,4.0,4.0,6.0,11184.0
kg_calls,io_few_shot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kg_calls,io_zero_shot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kg_calls,tog_d3_p3,3531.0,3.313225715094874,4.164179243294496,0.0,1.0,1.0,4.0,18.0,11699.0
agent_calls,cot,3531.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3531.0
agent_calls,formatog_d3_p3,3531.0,2.4936278674596433,0.8423302742629513,1.0,2.0,3.0,3.0,4.0,8805.0
agent_calls,formatog_noctx_d3_p3,3531.0,2.498442367601246,0.8406697439659497,1.0,2.0,3.0,3.0,4.0,8822.0
agent_calls,io_few_shot,3531.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3531.0
agent_calls,io_zero_shot,3531.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3531.0
agent_calls,tog_d3_p3,3531.0,4.823845935995469,4.977810028852017,1.0,2.0,2.0,7.0,22.0,17033.0
reached_depth,cot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reached_depth,formatog_d3_p3,3531.0,0.967148116680827,0.48612160590976383,0.0,1.0,1.0,1.0,2.0,3415.0
reached_depth,formatog_noctx_d3_p3,3531.0,0.9773435287453979,0.497070022113332,0.0,1.0,1.0,1.0,2.0,3451.0
reached_depth,io_few_shot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reached_depth,io_zero_shot,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reached_depth,tog_d3_p3,3531.0,1.1223449447748512,0.7276698391856123,0.0,1.0,1.0,1.0,3.0,3963.0
duration,cot,3531.0,6.866517328804122,2.272182836543602,2.8676788806915283,5.758670687675476,6.594625473022461,7.648257374763489,67.03691935539246,24245.672688007355
duration,formatog_d3_p3,3531.0,27.3072473629444,31.6144674196699,1.657224416732788,13.239637017250061,22.33110785484314,28.959367632865906,696.3869864940643,96421.89043855667
duration,formatog_noctx_d3_p3,3531.0,24.65349142303618,31.228305960004857,1.1171441078186035,12.585753321647644,20.32187795639038,27.39724552631378,1082.6104609966278,87051.47821474075
duration,io_few_shot,3531.0,3.4152057929810096,1.3847976480312436,1.4035537242889404,2.848007321357727,3.2115511894226074,3.6874005794525146,52.3926100730896,12059.091655015945
duration,io_zero_shot,3531.0,4.124175857937191,1.716392387165361,1.608459234237671,3.2991920709609985,3.791407346725464,4.581264019012451,64.15157294273376,14562.46495437622
duration,tog_d3_p3,3531.0,38.74929238776923,179.74436132614773,1.102320671081543,10.200996160507202,17.44908618927002,40.80892193317413,10334.26059961319,136823.75142121315
exact_match,cot,3531.0,0.18776550552251486,0.39058011254655056,0.0,0.0,0.0,0.0,1.0,663.0
exact_match,formatog_d3_p3,3531.0,0.19484565278957802,0.3961379387769642,0.0,0.0,0.0,0.0,1.0,688.0
exact_match,formatog_noctx_d3_p3,3531.0,0.18549985839705466,0.3887575883958932,0.0,0.0,0.0,0.0,1.0,655.0
exact_match,io_few_shot,3531.0,0.16879071084678562,0.3746200100586594,0.0,0.0,0.0,0.0,1.0,596.0
exact_match,io_zero_shot,3531.0,0.15151515151515152,0.35860107244862144,0.0,0.0,0.0,0.0,1.0,535.0
exact_match,tog_d3_p3,3531.0,0.052393089776267346,0.2228499910802629,0.0,0.0,0.0,0.0,1.0,185.0
f1,cot,3531.0,0.27008801854415565,0.4019854323080236,0.0,0.0,0.0,0.5714285714285715,1.0,953.6807934794136
f1,formatog_d3_p3,3531.0,0.28542601782055166,0.4055164162998093,0.0,0.0,0.0,0.6666666666666666,1.0,1007.8392689243681
f1,formatog_noctx_d3_p3,3531.0,0.27318037721773825,0.40086314383691873,0.0,0.0,0.0,0.5714285714285715,1.0,964.5999119558337
f1,io_few_shot,3531.0,0.267881240099464,0.3881735834616561,0.0,0.0,0.0,0.5,1.0,945.8886587912075
f1,io_zero_shot,3531.0,0.25475411500992184,0.38261133880968257,0.0,0.0,0.0,0.5,1.0,899.536780100034
f1,tog_d3_p3,3531.0,0.07387130036472316,0.24523645236859065,0.0,0.0,0.0,0.0,1.0,260.83956158783747
is_no_answer,cot,3531.0,0.03964882469555367,0.19516040075641833,0.0,0.0,0.0,0.0,1.0,140.0
is_no_answer,formatog_d3_p3,3531.0,0.03964882469555367,0.19516040075641833,0.0,0.0,0.0,0.0,1.0,140.0
is_no_answer,formatog_noctx_d3_p3,3531.0,0.042197677711696406,0.20106835477532478,0.0,0.0,0.0,0.0,1.0,149.0
is_no_answer,io_few_shot,3531.0,0.026621353724157464,0.1609968880014629,0.0,0.0,0.0,0.0,1.0,94.0
is_no_answer,io_zero_shot,3531.0,0.06060606060606061,0.23864009374550213,0.0,0.0,0.0,0.0,1.0,214.0
is_no_answer,tog_d3_p3,3531.0,0.7536108751062022,0.4309688214084338,0.0,1.0,1.0,1.0,1.0,2661.0
