question_index,expected_answer,answer,has_err_agent,has_err_graph,has_err_tog,has_err_instruction,has_err_other,is_kg_based_answer,kg_calls,agent_calls,reached_depth,start_timestamp,duration,exact_match,f1,is_no_answer,method,rep,model,questions
0,Bernhard Riemann,Bernhard Riemann,0,0,0,0,0,1,4,3,1,1768672394.7840858,9.770206451416016,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
1,emu,Emu,0,0,0,0,0,1,12,6,2,1768672469.4073095,23.007842302322388,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
2,Yennefer of Vengerberg,Geralt of Rivia,0,0,0,0,0,1,6,3,1,1768672547.6798177,12.65260124206543,0,0.3333333333333333,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
3,Ma Huateng,Pony Ma,0,0,1,0,0,0,5,4,2,1768672673.531016,68.11433219909668,0,0.5,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
4,Yu Yu Hakusho,Level E,0,0,0,0,0,1,17,7,3,1768672782.7003672,29.86902236938477,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
5,New York Stock Exchange; Frankfurt Stock Exchange; SIX Swiss Exchange; XETRA,"Frankfurt, Berlin, Düsseldorf, Hamburg, Hannover, München, Stuttgart, and OTC in the USA (as well as on several other exchanges through various financial instruments)",0,0,0,1,0,0,8,6,2,1768672879.8998463,24.319382905960083,0,0.060606060606060615,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
6,Time of Contempt; The Last Wish; The Tower of the Swallow,,0,0,0,1,0,0,4,3,1,1768672934.7454822,12.377668380737305,0,0.0,1,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
7,+100,99.9839,0,0,0,0,0,1,4,3,1,1768672988.547796,11.335372686386108,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
8,Kyoto City University of Arts,Kyoto City University of Arts,0,0,0,0,0,1,4,3,1,1768673034.0852804,11.0574369430542,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
9,Eastside High School,Columbia University High School,0,0,0,1,0,0,2,2,1,1768673071.8203692,6.675448894500732,0,0.5714285714285715,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
10,Java,Java,0,0,0,1,0,0,2,2,1,1768673120.2126894,7.36254620552063,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
11,0,2,0,0,0,0,0,1,9,6,2,1768673168.653937,25.061570644378666,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
12,0,4,0,0,0,1,0,0,10,6,2,1768673259.619029,28.262276887893677,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
13,0,,0,0,0,0,0,0,15,9,3,1768673341.1718636,30.03082275390625,0,0.0,1,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
14,N,,0,0,0,1,0,0,4,3,1,1768673407.6925018,12.939631938934326,0,0.0,1,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
15,United Kingdom,England,0,0,0,0,0,0,16,10,3,1768673648.1133275,36.50095987319946,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
16,United Kingdom,Canada,0,0,0,0,0,0,16,10,3,1768673736.8590302,36.81890892982483,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
17,5,3,0,0,0,0,0,0,16,10,3,1768673865.0010214,79.75382471084595,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
18,suicide,suicide,0,0,0,0,0,1,4,2,1,1768673980.4047277,7.342593908309936,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
19,financial services,Banking,0,0,0,0,0,1,4,3,1,1768674017.7629588,11.827066421508787,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
20,Amerika Birleşik Devletleri,the United States of America,0,0,0,0,0,1,4,3,1,1768674077.1910746,15.3134183883667,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,qald_10-en
