question_index,expected_answer,answer,has_err_agent,has_err_graph,has_err_tog,has_err_instruction,has_err_other,is_kg_based_answer,kg_calls,agent_calls,reached_depth,start_timestamp,duration,exact_match,f1,is_no_answer,method,rep,model,questions
0,Bernhard Riemann,Bernhard Riemann,0,0,0,0,0,1,4,3,1,1768639286.5683217,38.298693895339966,1,1.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
1,emu,Emu,0,0,0,0,0,1,12,6,2,1768639455.9519782,75.67057657241821,1,1.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
2,Yennefer of Vengerberg,Geralt of Rivia,0,0,0,0,0,1,6,3,1,1768639972.329862,42.6198832988739,0,0.3333333333333333,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
3,Ma Huateng,Ma Huateng,0,0,0,1,0,0,5,3,1,1768640287.7893898,125.27850365638731,1,1.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
4,Yu Yu Hakusho,"The Sweetheart Deal, Math en Jeans",0,0,0,0,0,1,12,5,2,1768641019.4319584,66.23939228057861,0,0.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
5,New York Stock Exchange; Frankfurt Stock Exchange; SIX Swiss Exchange; XETRA,Frankfurt Stock Exchange,0,0,0,0,0,1,4,3,1,1768641434.7688105,36.793882608413696,0,0.42857142857142855,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
6,Time of Contempt; The Last Wish; The Tower of the Swallow,"The Last Wish, Time of Contempt, The Tower of the Swallow",0,0,0,0,0,1,10,6,2,1768641591.1148384,81.56226229667664,0,1.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
7,+100,99.9839,0,0,0,0,0,1,4,3,1,1768641998.437647,34.2974066734314,0,0.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
8,Kyoto City University of Arts,Kyoto City University of Arts,0,0,0,0,0,1,4,3,1,1768642100.4255283,36.98124051094055,1,1.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
9,Eastside High School,Eastside High School,0,0,0,0,0,1,5,3,1,1768642259.138642,37.96988677978515,1,1.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
10,Java,Java,0,0,0,1,0,0,5,3,1,1768642477.4913695,59.3202691078186,1,1.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
11,0,2,0,0,0,0,0,1,5,3,1,1768642740.704687,46.149749994277954,0,0.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
12,0,3,0,0,0,0,0,0,16,8,3,1768643270.3857398,95.4288046360016,0,0.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
13,0,,0,0,0,0,0,0,16,10,3,1768643854.8833992,118.72665405273438,0,0.0,1,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
14,N,,0,0,0,1,0,0,1,2,1,1768644050.5844266,25.041170120239254,0,0.0,1,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
15,United Kingdom,England,0,0,0,1,0,0,1,2,1,1768644303.8124497,15.942945957183838,0,0.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
16,United Kingdom,United Kingdom,0,1,0,0,0,0,13,6,3,1768644432.1629715,100.07351732254028,1,1.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
17,5,,0,0,0,1,0,0,2,2,1,1768644882.4298384,20.783923149108887,0,0.0,1,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
18,suicide,suicide,0,0,0,0,0,1,4,2,1,1768645324.2813468,21.61821699142456,1,1.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
19,financial services,Banking,0,0,0,0,0,1,4,3,1,1768645455.565965,37.482274770736694,0,0.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
20,Amerika Birleşik Devletleri,Amerika Birleşik Devletleri,0,0,0,1,0,0,4,3,1,1768645720.1982384,40.23433899879456,1,1.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
21,+157,157,0,0,0,0,0,1,4,3,1,1768645842.0427964,36.76622939109802,1,1.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
22,哈茨山,Ha'erzu Shan,0,0,0,1,0,0,7,5,2,1768646004.5844803,54.975115060806274,0,0.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
23,1,2,0,0,0,0,0,1,17,9,3,1768646223.8471043,140.56297206878662,0,0.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
24,28,14,0,0,0,1,0,0,2,2,1,1768646798.0421376,18.04508113861084,0,0.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
25,18,16,0,0,0,1,0,0,2,2,1,1768647116.8489902,18.486466646194454,0,0.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
26,7,9,0,0,0,0,0,0,16,9,3,1768647307.9107034,101.14276885986328,0,0.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
27,26,,0,0,0,0,0,0,16,9,3,1768647558.0765345,97.78818225860596,0,0.0,1,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
28,0,12,0,0,0,1,0,0,8,5,2,1768647782.0472004,63.309351205825806,0,0.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
29,0,4,0,0,0,1,0,0,9,5,2,1768648337.6947622,66.01951837539673,0,0.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
30,125,7,0,1,0,0,0,0,6,4,2,1768648876.8508313,47.09347748756409,0,0.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,qald_10-en
