metric,method,count,mean,std,min,25%,50%,75%,max,sum
has_err,formatog_d1_p1,100.0,0.18,0.38612291966536916,0.0,0.0,0.0,0.0,1.0,18.0
has_err,formatog_d1_p2,100.0,0.23,0.4229525846816507,0.0,0.0,0.0,0.0,1.0,23.0
has_err,formatog_d1_p3,100.0,0.43,0.497569851956243,0.0,0.0,0.0,1.0,1.0,43.0
has_err,formatog_d1_p4,100.0,0.35,0.4793724854411022,0.0,0.0,0.0,1.0,1.0,35.0
has_err,formatog_d2_p1,100.0,0.22,0.4163331998932266,0.0,0.0,0.0,0.0,1.0,22.0
has_err,formatog_d2_p2,100.0,0.31,0.46482319871173167,0.0,0.0,0.0,1.0,1.0,31.0
has_err,formatog_d2_p3,100.0,0.44,0.4988876515698589,0.0,0.0,0.0,1.0,1.0,44.0
has_err,formatog_d2_p4,100.0,0.32,0.4688261722621506,0.0,0.0,0.0,1.0,1.0,32.0
has_err,formatog_d3_p1,100.0,0.32,0.4688261722621506,0.0,0.0,0.0,1.0,1.0,32.0
has_err,formatog_d3_p2,100.0,0.34,0.47609522856952335,0.0,0.0,0.0,1.0,1.0,34.0
has_err,formatog_d3_p3,100.0,0.4,0.49236596391733095,0.0,0.0,0.0,1.0,1.0,40.0
has_err,formatog_d3_p4,100.0,0.4,0.49236596391733095,0.0,0.0,0.0,1.0,1.0,40.0
has_err,formatog_d4_p1,100.0,0.35,0.4793724854411022,0.0,0.0,0.0,1.0,1.0,35.0
has_err,formatog_d4_p2,100.0,0.38,0.4878317312145634,0.0,0.0,0.0,1.0,1.0,38.0
has_err,formatog_d4_p3,100.0,0.53,0.5016135580465918,0.0,0.0,1.0,1.0,1.0,53.0
has_err,formatog_d4_p4,100.0,0.39,0.4902071300001973,0.0,0.0,0.0,1.0,1.0,39.0
has_err_and_correct,formatog_d1_p1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,formatog_d1_p2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,formatog_d1_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,formatog_d1_p4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,formatog_d2_p1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,formatog_d2_p2,100.0,0.01,0.09999999999999999,0.0,0.0,0.0,0.0,1.0,1.0
has_err_and_correct,formatog_d2_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,formatog_d2_p4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,formatog_d3_p1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,formatog_d3_p2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,formatog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,formatog_d3_p4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,formatog_d4_p1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,formatog_d4_p2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,formatog_d4_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,formatog_d4_p4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_instruction,formatog_d1_p1,100.0,0.18,0.38612291966536916,0.0,0.0,0.0,0.0,1.0,18.0
has_err_instruction,formatog_d1_p2,100.0,0.23,0.4229525846816507,0.0,0.0,0.0,0.0,1.0,23.0
has_err_instruction,formatog_d1_p3,100.0,0.43,0.497569851956243,0.0,0.0,0.0,1.0,1.0,43.0
has_err_instruction,formatog_d1_p4,100.0,0.35,0.4793724854411022,0.0,0.0,0.0,1.0,1.0,35.0
has_err_instruction,formatog_d2_p1,100.0,0.17,0.3775251680686369,0.0,0.0,0.0,0.0,1.0,17.0
has_err_instruction,formatog_d2_p2,100.0,0.28,0.4512608598542128,0.0,0.0,0.0,1.0,1.0,28.0
has_err_instruction,formatog_d2_p3,100.0,0.42,0.4960449637488583,0.0,0.0,0.0,1.0,1.0,42.0
has_err_instruction,formatog_d2_p4,100.0,0.31,0.46482319871173167,0.0,0.0,0.0,1.0,1.0,31.0
has_err_instruction,formatog_d3_p1,100.0,0.18,0.38612291966536916,0.0,0.0,0.0,0.0,1.0,18.0
has_err_instruction,formatog_d3_p2,100.0,0.3,0.4605661864718382,0.0,0.0,0.0,1.0,1.0,30.0
has_err_instruction,formatog_d3_p3,100.0,0.36,0.4824181513244218,0.0,0.0,0.0,1.0,1.0,36.0
has_err_instruction,formatog_d3_p4,100.0,0.35,0.4793724854411022,0.0,0.0,0.0,1.0,1.0,35.0
has_err_instruction,formatog_d4_p1,100.0,0.18,0.38612291966536916,0.0,0.0,0.0,0.0,1.0,18.0
has_err_instruction,formatog_d4_p2,100.0,0.25,0.4351941398892446,0.0,0.0,0.0,0.25,1.0,25.0
has_err_instruction,formatog_d4_p3,100.0,0.44,0.4988876515698589,0.0,0.0,0.0,1.0,1.0,44.0
has_err_instruction,formatog_d4_p4,100.0,0.36,0.48241815132442184,0.0,0.0,0.0,1.0,1.0,36.0
has_err_format,formatog_d1_p1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d1_p2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d1_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d1_p4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d2_p1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d2_p2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d2_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d2_p4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d3_p1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d3_p2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d3_p4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d4_p1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d4_p2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d4_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d4_p4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_d1_p1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_d1_p2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_d1_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_d1_p4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_d2_p1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_d2_p2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_d2_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_d2_p4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_d3_p1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_d3_p2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_d3_p4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_d4_p1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_d4_p2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_d4_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_d4_p4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_other,formatog_d1_p1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_other,formatog_d1_p2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_other,formatog_d1_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_other,formatog_d1_p4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_other,formatog_d2_p1,100.0,0.05,0.2190429135575903,0.0,0.0,0.0,0.0,1.0,5.0
has_err_other,formatog_d2_p2,100.0,0.03,0.1714466079977653,0.0,0.0,0.0,0.0,1.0,3.0
has_err_other,formatog_d2_p3,100.0,0.02,0.14070529413628965,0.0,0.0,0.0,0.0,1.0,2.0
has_err_other,formatog_d2_p4,100.0,0.01,0.09999999999999999,0.0,0.0,0.0,0.0,1.0,1.0
has_err_other,formatog_d3_p1,100.0,0.14,0.348735088019777,0.0,0.0,0.0,0.0,1.0,14.0
has_err_other,formatog_d3_p2,100.0,0.04,0.19694638556693236,0.0,0.0,0.0,0.0,1.0,4.0
has_err_other,formatog_d3_p3,100.0,0.04,0.19694638556693236,0.0,0.0,0.0,0.0,1.0,4.0
has_err_other,formatog_d3_p4,100.0,0.05,0.2190429135575903,0.0,0.0,0.0,0.0,1.0,5.0
has_err_other,formatog_d4_p1,100.0,0.17,0.3775251680686369,0.0,0.0,0.0,0.0,1.0,17.0
has_err_other,formatog_d4_p2,100.0,0.13,0.3379976689896311,0.0,0.0,0.0,0.0,1.0,13.0
has_err_other,formatog_d4_p3,100.0,0.09,0.2876234912646614,0.0,0.0,0.0,0.0,1.0,9.0
has_err_other,formatog_d4_p4,100.0,0.03,0.1714466079977653,0.0,0.0,0.0,0.0,1.0,3.0
has_err_agent,formatog_d1_p1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d1_p2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d1_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d1_p4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d2_p1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d2_p2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d2_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d2_p4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d3_p1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d3_p2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d3_p4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d4_p1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d4_p2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d4_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d4_p4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_based_answer,formatog_d1_p1,100.0,0.76,0.4292346959909279,0.0,1.0,1.0,1.0,1.0,76.0
is_kg_based_answer,formatog_d1_p2,100.0,0.71,0.4560480215720687,0.0,0.0,1.0,1.0,1.0,71.0
is_kg_based_answer,formatog_d1_p3,100.0,0.55,0.5,0.0,0.0,1.0,1.0,1.0,55.0
is_kg_based_answer,formatog_d1_p4,100.0,0.63,0.4852365870939097,0.0,0.0,1.0,1.0,1.0,63.0
is_kg_based_answer,formatog_d2_p1,100.0,0.78,0.4163331998932266,0.0,1.0,1.0,1.0,1.0,78.0
is_kg_based_answer,formatog_d2_p2,100.0,0.69,0.4648231987117317,0.0,0.0,1.0,1.0,1.0,69.0
is_kg_based_answer,formatog_d2_p3,100.0,0.56,0.4988876515698589,0.0,0.0,1.0,1.0,1.0,56.0
is_kg_based_answer,formatog_d2_p4,100.0,0.68,0.4688261722621507,0.0,0.0,1.0,1.0,1.0,68.0
is_kg_based_answer,formatog_d3_p1,100.0,0.68,0.4688261722621507,0.0,0.0,1.0,1.0,1.0,68.0
is_kg_based_answer,formatog_d3_p2,100.0,0.66,0.47609522856952335,0.0,0.0,1.0,1.0,1.0,66.0
is_kg_based_answer,formatog_d3_p3,100.0,0.6,0.49236596391733095,0.0,0.0,1.0,1.0,1.0,60.0
is_kg_based_answer,formatog_d3_p4,100.0,0.6,0.49236596391733095,0.0,0.0,1.0,1.0,1.0,60.0
is_kg_based_answer,formatog_d4_p1,100.0,0.65,0.4793724854411022,0.0,0.0,1.0,1.0,1.0,65.0
is_kg_based_answer,formatog_d4_p2,100.0,0.62,0.4878317312145634,0.0,0.0,1.0,1.0,1.0,62.0
is_kg_based_answer,formatog_d4_p3,100.0,0.47,0.5016135580465918,0.0,0.0,0.0,1.0,1.0,47.0
is_kg_based_answer,formatog_d4_p4,100.0,0.61,0.4902071300001973,0.0,0.0,1.0,1.0,1.0,61.0
is_kg_and_correct,formatog_d1_p1,100.0,0.1,0.30151134457776363,0.0,0.0,0.0,0.0,1.0,10.0
is_kg_and_correct,formatog_d1_p2,100.0,0.13,0.3379976689896311,0.0,0.0,0.0,0.0,1.0,13.0
is_kg_and_correct,formatog_d1_p3,100.0,0.12,0.32659863237109044,0.0,0.0,0.0,0.0,1.0,12.0
is_kg_and_correct,formatog_d1_p4,100.0,0.12,0.32659863237109044,0.0,0.0,0.0,0.0,1.0,12.0
is_kg_and_correct,formatog_d2_p1,100.0,0.12,0.32659863237109044,0.0,0.0,0.0,0.0,1.0,12.0
is_kg_and_correct,formatog_d2_p2,100.0,0.15,0.3588702812826367,0.0,0.0,0.0,0.0,1.0,15.0
is_kg_and_correct,formatog_d2_p3,100.0,0.12,0.32659863237109044,0.0,0.0,0.0,0.0,1.0,12.0
is_kg_and_correct,formatog_d2_p4,100.0,0.13,0.33799766898963113,0.0,0.0,0.0,0.0,1.0,13.0
is_kg_and_correct,formatog_d3_p1,100.0,0.14,0.348735088019777,0.0,0.0,0.0,0.0,1.0,14.0
is_kg_and_correct,formatog_d3_p2,100.0,0.06,0.238683256575942,0.0,0.0,0.0,0.0,1.0,6.0
is_kg_and_correct,formatog_d3_p3,100.0,0.12,0.32659863237109044,0.0,0.0,0.0,0.0,1.0,12.0
is_kg_and_correct,formatog_d3_p4,100.0,0.08,0.27265992434429076,0.0,0.0,0.0,0.0,1.0,8.0
is_kg_and_correct,formatog_d4_p1,100.0,0.11,0.31446603773522014,0.0,0.0,0.0,0.0,1.0,11.0
is_kg_and_correct,formatog_d4_p2,100.0,0.11,0.31446603773522014,0.0,0.0,0.0,0.0,1.0,11.0
is_kg_and_correct,formatog_d4_p3,100.0,0.11,0.31446603773522014,0.0,0.0,0.0,0.0,1.0,11.0
is_kg_and_correct,formatog_d4_p4,100.0,0.14,0.348735088019777,0.0,0.0,0.0,0.0,1.0,14.0
kg_calls,formatog_d1_p1,100.0,1.86,0.34873508801977704,1.0,2.0,2.0,2.0,2.0,186.0
kg_calls,formatog_d1_p2,100.0,3.16,0.8005048911831086,1.0,3.0,3.0,4.0,4.0,316.0
kg_calls,formatog_d1_p3,100.0,4.18,1.2175484558834782,1.0,3.0,4.0,5.0,6.0,418.0
kg_calls,formatog_d1_p4,100.0,4.35,1.5851265762160014,2.0,3.0,4.0,6.0,8.0,435.0
kg_calls,formatog_d2_p1,100.0,1.85,0.35887028128263676,1.0,2.0,2.0,2.0,2.0,185.0
kg_calls,formatog_d2_p2,100.0,3.03,0.8927881647236969,1.0,2.0,3.0,4.0,4.0,303.0
kg_calls,formatog_d2_p3,100.0,3.93,1.4016945012189619,1.0,3.0,4.0,5.0,6.0,393.0
kg_calls,formatog_d2_p4,100.0,4.3,1.6236882817719773,2.0,3.0,4.0,6.0,8.0,430.0
kg_calls,formatog_d3_p1,100.0,1.86,0.34873508801977704,1.0,2.0,2.0,2.0,2.0,186.0
kg_calls,formatog_d3_p2,100.0,3.06,0.8624606564002695,1.0,2.0,3.0,4.0,4.0,306.0
kg_calls,formatog_d3_p3,100.0,4.15,1.3209653647804303,1.0,3.0,4.0,5.0,6.0,415.0
kg_calls,formatog_d3_p4,100.0,4.26,1.605671765393481,1.0,3.0,4.0,5.0,8.0,426.0
kg_calls,formatog_d4_p1,100.0,1.86,0.34873508801977704,1.0,2.0,2.0,2.0,2.0,186.0
kg_calls,formatog_d4_p2,100.0,3.02,0.8406346808612328,1.0,2.0,3.0,4.0,4.0,302.0
kg_calls,formatog_d4_p3,100.0,3.96,1.39204086785474,1.0,3.0,4.0,5.0,6.0,396.0
kg_calls,formatog_d4_p4,100.0,4.25,1.6899883449481556,1.0,3.0,4.0,6.0,7.0,425.0
agent_calls,formatog_d1_p1,100.0,2.21,0.4983812179284432,1.0,2.0,2.0,2.25,3.0,221.0
agent_calls,formatog_d1_p2,100.0,2.28,0.5874099974042876,1.0,2.0,2.0,3.0,4.0,228.0
agent_calls,formatog_d1_p3,100.0,2.23,0.600588936550675,1.0,2.0,2.0,3.0,3.0,223.0
agent_calls,formatog_d1_p4,100.0,2.16,0.5635386034476765,1.0,2.0,2.0,2.25,3.0,216.0
agent_calls,formatog_d2_p1,100.0,2.2,0.5124707431905382,1.0,2.0,2.0,2.25,3.0,220.0
agent_calls,formatog_d2_p2,100.0,2.18,0.5001009999000303,1.0,2.0,2.0,2.0,3.0,218.0
agent_calls,formatog_d2_p3,100.0,2.19,0.5978919195596706,1.0,2.0,2.0,3.0,4.0,219.0
agent_calls,formatog_d2_p4,100.0,2.13,0.5441145155760927,1.0,2.0,2.0,2.0,3.0,213.0
agent_calls,formatog_d3_p1,100.0,2.36,0.5949280577846315,1.0,2.0,2.0,3.0,4.0,236.0
agent_calls,formatog_d3_p2,100.0,2.26,0.5434643827828418,1.0,2.0,2.0,3.0,4.0,226.0
agent_calls,formatog_d3_p3,100.0,2.26,0.6133201579612528,1.0,2.0,2.0,3.0,3.0,226.0
agent_calls,formatog_d3_p4,100.0,2.13,0.5056249258655725,1.0,2.0,2.0,2.0,3.0,213.0
agent_calls,formatog_d4_p1,100.0,2.36,0.6279677016721754,1.0,2.0,2.0,3.0,4.0,236.0
agent_calls,formatog_d4_p2,100.0,2.29,0.5558685986722932,1.0,2.0,2.0,3.0,4.0,229.0
agent_calls,formatog_d4_p3,100.0,2.28,0.6369117408688315,1.0,2.0,2.0,3.0,4.0,228.0
agent_calls,formatog_d4_p4,100.0,2.15,0.5388914922357194,1.0,2.0,2.0,2.0,3.0,215.0
reached_depth,formatog_d1_p1,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0
reached_depth,formatog_d1_p2,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0
reached_depth,formatog_d1_p3,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0
reached_depth,formatog_d1_p4,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0
reached_depth,formatog_d2_p1,100.0,1.05,0.21904291355759037,1.0,1.0,1.0,1.0,2.0,105.0
reached_depth,formatog_d2_p2,100.0,1.03,0.1714466079977653,1.0,1.0,1.0,1.0,2.0,103.0
reached_depth,formatog_d2_p3,100.0,1.02,0.14070529413628965,1.0,1.0,1.0,1.0,2.0,102.0
reached_depth,formatog_d2_p4,100.0,1.01,0.09999999999999999,1.0,1.0,1.0,1.0,2.0,101.0
reached_depth,formatog_d3_p1,100.0,1.14,0.34873508801977704,1.0,1.0,1.0,1.0,2.0,114.0
reached_depth,formatog_d3_p2,100.0,1.04,0.19694638556693236,1.0,1.0,1.0,1.0,2.0,104.0
reached_depth,formatog_d3_p3,100.0,1.04,0.19694638556693236,1.0,1.0,1.0,1.0,2.0,104.0
reached_depth,formatog_d3_p4,100.0,1.05,0.2190429135575904,1.0,1.0,1.0,1.0,2.0,105.0
reached_depth,formatog_d4_p1,100.0,1.17,0.3775251680686369,1.0,1.0,1.0,1.0,2.0,117.0
reached_depth,formatog_d4_p2,100.0,1.13,0.3379976689896311,1.0,1.0,1.0,1.0,2.0,113.0
reached_depth,formatog_d4_p3,100.0,1.09,0.2876234912646614,1.0,1.0,1.0,1.0,2.0,109.0
reached_depth,formatog_d4_p4,100.0,1.03,0.1714466079977653,1.0,1.0,1.0,1.0,2.0,103.0
duration,formatog_d1_p1,100.0,21.52372887134552,15.398785675245742,4.50543999671936,12.436709880828857,15.01693344116211,23.88914680480957,78.89498281478882,2152.372887134552
duration,formatog_d1_p2,100.0,18.646633965969087,7.236636050111186,4.7515480518341064,14.530981361865999,17.395455956459045,23.168368756771088,36.65371727943421,1864.6633965969086
duration,formatog_d1_p3,100.0,22.6065310549736,10.676137057574826,6.1877617835998535,15.306386590003967,20.23258864879608,29.356653332710266,51.337390422821045,2260.6531054973602
duration,formatog_d1_p4,100.0,21.791751487255098,10.119751379173515,5.351238250732422,15.781690955162047,20.235209107398987,27.722427248954773,56.231531858444214,2179.1751487255096
duration,formatog_d2_p1,100.0,15.131175796985627,6.129525088031519,4.834980010986328,11.301433861255646,14.077355861663818,16.881597340106964,39.32093024253845,1513.1175796985626
duration,formatog_d2_p2,100.0,18.255242936611175,7.746638640451245,5.787563323974609,13.230771303176878,17.129184007644653,20.521311819553375,48.19780921936035,1825.5242936611176
duration,formatog_d2_p3,100.0,21.484191262722014,9.951701971419945,5.022761344909668,14.966157853603361,19.884645581245422,28.494145214557648,46.99929690361023,2148.4191262722015
duration,formatog_d2_p4,100.0,22.012647924423216,12.039742847662897,5.149986982345581,14.132665038108826,18.29765820503235,27.93518191576004,57.15391707420349,2201.264792442322
duration,formatog_d3_p1,100.0,15.972082517147065,6.425141823979446,4.760989427566528,11.664396464824677,15.107847929000854,18.56368088722229,39.614036321640015,1597.2082517147064
duration,formatog_d3_p2,100.0,18.39939157962799,7.6813990084709305,4.3807947635650635,13.517547309398651,16.39247703552246,23.112588703632355,43.498825550079346,1839.939157962799
duration,formatog_d3_p3,100.0,22.614559857845308,10.93842942276759,4.709850788116455,14.999015510082245,19.98116898536682,30.561314582824703,55.9493727684021,2261.4559857845306
duration,formatog_d3_p4,100.0,21.14952086210251,9.71286892484848,5.8982484340667725,15.692068576812742,19.74601709842682,25.605083525180817,54.61278438568115,2114.952086210251
duration,formatog_d4_p1,100.0,16.29812868118286,7.801595539891469,5.476955890655518,12.164662301540375,14.925313472747805,18.80585539340973,50.543744802474976,1629.8128681182861
duration,formatog_d4_p2,100.0,18.296237013339997,8.544701090183034,6.54668116569519,12.821734189987183,16.7368745803833,20.846799314022064,52.63324856758118,1829.6237013339996
duration,formatog_d4_p3,100.0,21.558015015125275,10.180914629945772,5.857833385467529,13.88142377138138,19.738701581954956,29.503995954990383,46.021974086761475,2155.8015015125275
duration,formatog_d4_p4,100.0,22.150726063251497,10.467141149697856,5.632875680923462,15.157154202461244,20.049848914146423,28.82479852437973,48.17600631713867,2215.0726063251495
exact_match,formatog_d1_p1,100.0,0.1,0.30151134457776363,0.0,0.0,0.0,0.0,1.0,10.0
exact_match,formatog_d1_p2,100.0,0.13,0.3379976689896311,0.0,0.0,0.0,0.0,1.0,13.0
exact_match,formatog_d1_p3,100.0,0.12,0.32659863237109044,0.0,0.0,0.0,0.0,1.0,12.0
exact_match,formatog_d1_p4,100.0,0.12,0.32659863237109044,0.0,0.0,0.0,0.0,1.0,12.0
exact_match,formatog_d2_p1,100.0,0.12,0.32659863237109044,0.0,0.0,0.0,0.0,1.0,12.0
exact_match,formatog_d2_p2,100.0,0.16,0.3684529491774707,0.0,0.0,0.0,0.0,1.0,16.0
exact_match,formatog_d2_p3,100.0,0.12,0.32659863237109044,0.0,0.0,0.0,0.0,1.0,12.0
exact_match,formatog_d2_p4,100.0,0.13,0.33799766898963113,0.0,0.0,0.0,0.0,1.0,13.0
exact_match,formatog_d3_p1,100.0,0.14,0.348735088019777,0.0,0.0,0.0,0.0,1.0,14.0
exact_match,formatog_d3_p2,100.0,0.06,0.238683256575942,0.0,0.0,0.0,0.0,1.0,6.0
exact_match,formatog_d3_p3,100.0,0.12,0.32659863237109044,0.0,0.0,0.0,0.0,1.0,12.0
exact_match,formatog_d3_p4,100.0,0.08,0.27265992434429076,0.0,0.0,0.0,0.0,1.0,8.0
exact_match,formatog_d4_p1,100.0,0.11,0.31446603773522014,0.0,0.0,0.0,0.0,1.0,11.0
exact_match,formatog_d4_p2,100.0,0.11,0.31446603773522014,0.0,0.0,0.0,0.0,1.0,11.0
