question_index,expected_answer,answer,has_err_instruction,has_err_format,has_err_graph,has_err_other,has_err_agent,is_kg_based_answer,kg_calls,agent_calls,reached_depth,start_timestamp,duration,exact_match,f1,is_no_answer,is_kg_and_correct,has_err,has_err_and_correct,method,rep
0,Bernhard Riemann,Bernhard Riemann,0,0,0,0,0,0,0,1,0,1768144338.4269533,4.493588209152222,1,1.0,0,0,0,0,io_few_shot,1
1,emu,Sarbi,0,0,0,0,0,0,0,1,0,1768144937.4882915,4.867221832275391,0,0.0,0,0,0,0,io_few_shot,1
2,Yennefer of Vengerberg,Geralt of Rivia,0,0,0,0,0,0,0,1,0,1768145191.5611768,5.531782150268555,0,0.3333333333333333,0,0,0,0,io_few_shot,1
3,Ma Huateng,Ma Huateng,0,0,0,0,0,0,0,1,0,1768145768.8942726,5.0812668800354,1,1.0,0,0,0,0,io_few_shot,1
4,Yu Yu Hakusho,Hisoka,0,0,0,0,0,0,0,1,0,1768146074.6635995,7.263047933578491,0,0.0,0,0,0,0,io_few_shot,1
5,New York Stock Exchange; Frankfurt Stock Exchange; SIX Swiss Exchange; XETRA,"Frankfurt Stock Exchange, NYSE",0,0,0,0,0,0,0,1,0,1768146213.2757506,5.289273977279663,0,0.39999999999999997,0,0,0,0,io_few_shot,1
6,Time of Contempt; The Last Wish; The Tower of the Swallow,"The Hussite Trilogy, The Tower of Fools",0,0,0,0,0,0,0,1,0,1768146530.0150173,6.121109247207642,0,0.3076923076923077,0,0,0,0,io_few_shot,1
7,+100,100°C,0,0,0,0,0,0,0,1,0,1768146636.9072497,4.352084398269653,0,0.0,0,0,0,0,io_few_shot,1
8,Kyoto City University of Arts,Kyoto Municipal School of Arts and Crafts,0,0,0,0,0,0,0,1,0,1768146812.5630322,5.18332576751709,0,0.5,0,0,0,0,io_few_shot,1
9,Eastside High School,Newark's East Side High School and later Montclair High School,0,0,0,0,0,0,0,1,0,1768147017.5749326,5.411156177520752,0,0.30769230769230765,0,0,0,0,io_few_shot,1
10,Java,Java,0,0,0,0,0,0,0,1,0,1768147336.272925,4.105387449264526,1,1.0,0,0,0,0,io_few_shot,1
11,0,3,0,0,0,0,0,0,0,1,0,1768147885.856394,4.317744255065918,0,0.0,0,0,0,0,io_few_shot,1
12,0,3,0,0,0,0,0,0,0,1,0,1768148148.6298535,5.801590442657471,0,0.0,0,0,0,0,io_few_shot,1
13,0,1,0,0,0,0,0,0,0,1,0,1768148291.729849,3.88422966003418,0,0.0,0,0,0,0,io_few_shot,1
14,N,,0,0,0,0,0,0,0,1,0,1768148406.792161,8.74132251739502,0,0.0,1,0,0,0,io_few_shot,1
15,United Kingdom,England,0,0,0,0,0,0,0,1,0,1768148501.3396297,3.692519187927246,0,0.0,0,0,0,0,io_few_shot,1
16,United Kingdom,United Kingdom,0,0,0,0,0,0,0,1,0,1768148784.630072,4.344660758972168,1,1.0,0,0,0,0,io_few_shot,1
17,5,0,0,0,0,0,0,0,0,1,0,1768149073.0294902,4.106222867965698,0,0.0,0,0,0,0,io_few_shot,1
18,suicide,Suicide by shotgun,0,0,0,0,0,0,0,1,0,1768149196.248404,4.235387086868286,0,0.5,0,0,0,0,io_few_shot,1
19,financial services,Banking,0,0,0,0,0,0,0,1,0,1768149399.4896057,4.193885326385498,0,0.0,0,0,0,0,io_few_shot,1
20,Amerika Birleşik Devletleri,Amerika Birleşik Devletleri,0,0,0,0,0,0,0,1,0,1768149536.0072856,4.826695680618286,1,1.0,0,0,0,0,io_few_shot,1
21,+157,157.38 meters,0,0,0,0,0,0,0,1,0,1768149688.5451517,4.349880933761597,0,0.0,0,0,0,0,io_few_shot,1
22,哈茨山,哈尔茨山,0,0,0,0,0,0,0,1,0,1768150283.944566,4.5730650424957275,0,0.0,0,0,0,0,io_few_shot,1
23,1,1,0,0,0,0,0,0,0,1,0,1768150476.7633283,4.283978462219238,1,1.0,0,0,0,0,io_few_shot,1
24,28,14,0,0,0,0,0,0,0,1,0,1768151364.6500957,3.7889792919158936,0,0.0,0,0,0,0,io_few_shot,1
25,18,16,0,0,0,0,0,0,0,1,0,1768151504.2055647,3.965734243392944,0,0.0,0,0,0,0,io_few_shot,1
26,7,9,0,0,0,0,0,0,0,1,0,1768152107.8098576,3.8581485748291016,0,0.0,0,0,0,0,io_few_shot,1
27,26,,0,0,0,0,0,0,0,1,0,1768152357.98174,8.464627504348755,0,0.0,1,0,0,0,io_few_shot,1
28,0,12,0,0,0,0,0,0,0,1,0,1768152504.915263,4.354297876358032,0,0.0,0,0,0,0,io_few_shot,1
29,0,4,0,0,0,0,0,0,0,1,0,1768153050.6654418,4.972778797149658,0,0.0,0,0,0,0,io_few_shot,1
30,125,7,0,0,0,0,0,0,0,1,0,1768153269.0732183,4.357071399688721,0,0.0,0,0,0,0,io_few_shot,1
31,0,"7 series, 1 collection, and several short stories and novellas",0,0,0,0,0,0,0,1,0,1768153654.3235092,5.992248773574829,0,0.0,0,0,0,0,io_few_shot,1
32,0,4,0,0,0,0,0,0,0,1,0,1768153818.5101469,4.340334892272949,0,0.0,0,0,0,0,io_few_shot,1
33,0,3,0,0,0,0,0,0,0,1,0,1768154044.7720263,4.09112024307251,0,0.0,0,0,0,0,io_few_shot,1
34,12,12,0,0,0,0,0,0,0,1,0,1768154149.6228178,3.885101556777954,1,1.0,0,0,0,0,io_few_shot,1
35,3,9,0,0,0,0,0,0,0,1,0,1768154626.140309,3.974108219146729,0,0.0,0,0,0,0,io_few_shot,1
36,79,3,0,0,0,0,0,0,0,1,0,1768155048.6930544,4.626638174057007,0,0.0,0,0,0,0,io_few_shot,1
37,2,2,0,0,0,0,0,0,0,1,0,1768155176.99673,5.059123754501343,1,1.0,0,0,0,0,io_few_shot,1
38,1,6,0,0,0,0,0,0,0,1,0,1768155682.610786,4.6011292934417725,0,0.0,0,0,0,0,io_few_shot,1
39,189,2,0,0,0,0,0,0,0,1,0,1768156032.5816858,4.627624750137329,0,0.0,0,0,0,0,io_few_shot,1
40,12,12,0,0,0,0,0,0,0,1,0,1768156200.6949737,3.784702777862549,1,1.0,0,0,0,0,io_few_shot,1
41,0,63,0,0,0,0,0,0,0,1,0,1768156368.318451,4.665040493011475,0,0.0,0,0,0,0,io_few_shot,1
42,5,3,0,0,0,0,0,0,0,1,0,1768156761.5725234,4.853362798690796,0,0.0,0,0,0,0,io_few_shot,1
43,0,59,0,0,0,0,0,0,0,1,0,1768157205.3528457,4.028564691543579,0,0.0,0,0,0,0,io_few_shot,1
44,5,7,0,0,0,0,0,0,0,1,0,1768157633.7987983,4.887082815170288,0,0.0,0,0,0,0,io_few_shot,1
45,11,8,0,0,0,0,0,0,0,1,0,1768157846.9991453,4.210370302200317,0,0.0,0,0,0,0,io_few_shot,1
46,0,7,0,0,0,0,0,0,0,1,0,1768157990.754137,4.157545804977417,0,0.0,0,0,0,0,io_few_shot,1
47,0,1,0,0,0,0,0,0,0,1,0,1768158557.1660392,21.335286617279053,0,0.0,0,0,0,0,io_few_shot,1
48,0,1,0,0,0,0,0,0,0,1,0,1768158784.28961,4.190635442733765,0,0.0,0,0,0,0,io_few_shot,1
49,8,10000+,0,0,0,0,0,0,0,1,0,1768159193.942935,4.4509665966033936,0,0.0,0,0,0,0,io_few_shot,1
50,+111892,47000,0,0,0,0,0,0,0,1,0,1768159559.007982,4.614103078842163,0,0.0,0,0,0,0,io_few_shot,1
51,3,2,0,0,0,0,0,0,0,1,0,1768159891.0005689,5.357316493988037,0,0.0,0,0,0,0,io_few_shot,1
52,1,22,0,0,0,0,0,0,0,1,0,1768160042.705186,5.805461645126343,0,0.0,0,0,0,0,io_few_shot,1
53,6,,0,0,0,0,0,0,0,1,0,1768160168.4910474,7.036275386810303,0,0.0,1,0,0,0,io_few_shot,1
54,12,2,0,0,0,0,0,0,0,1,0,1768160863.043428,3.835963010787964,0,0.0,0,0,0,0,io_few_shot,1
55,0,3,0,0,0,0,0,0,0,1,0,1768161230.7516284,4.411333084106445,0,0.0,0,0,0,0,io_few_shot,1
56,5,6,0,0,0,0,0,0,0,1,0,1768161673.6350603,3.8161752223968506,0,0.0,0,0,0,0,io_few_shot,1
57,8,7,0,0,0,0,0,0,0,1,0,1768161828.0645592,4.100732803344727,0,0.0,0,0,0,0,io_few_shot,1
58,31,30,0,0,0,0,0,0,0,1,0,1768161974.65774,4.10084342956543,0,0.0,0,0,0,0,io_few_shot,1
59,17,"12 major, 12 minor, numerous modes and variants",0,0,0,0,0,0,0,1,0,1768162480.985825,6.380306243896484,0,0.0,0,0,0,0,io_few_shot,1
60,13,13,0,0,0,0,0,0,0,1,0,1768162817.9385366,4.032781362533569,1,1.0,0,0,0,0,io_few_shot,1
61,21,9,0,0,0,0,0,0,0,1,0,1768163186.816744,4.875934600830078,0,0.0,0,0,0,0,io_few_shot,1
