question_index,expected_answer,answer,has_err_agent,has_err_graph,has_err_tog,has_err_instruction,has_err_other,is_kg_based_answer,kg_calls,agent_calls,reached_depth,start_timestamp,duration,exact_match,f1,is_no_answer,method,rep,model,questions
0,Bernhard Riemann,Bernhard Riemann,0,0,0,0,0,1,3,3,1,1768603763.7619202,21.872089862823486,1,1.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,qald_10-en
1,emu,Emu,0,0,0,0,0,1,6,3,1,1768603871.6277502,25.546752452850345,1,1.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,qald_10-en
2,Yennefer of Vengerberg,Istredd,0,0,0,0,0,1,5,3,1,1768603956.5672228,23.90208148956299,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,qald_10-en
3,Ma Huateng,Pony Ma,0,0,0,0,0,1,5,3,1,1768604252.9726644,122.32994532585144,0,0.5,0,formatog_noctx_d3_p3,1,llama3.1:8b,qald_10-en
4,Yu Yu Hakusho,The Sweetheart Deal,0,0,0,0,0,1,6,3,1,1768604438.057604,29.768869161605835,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,qald_10-en
5,New York Stock Exchange; Frankfurt Stock Exchange; SIX Swiss Exchange; XETRA,Frankfurt Stock Exchange,0,0,0,0,0,1,2,2,1,1768604535.1284397,11.882269382476808,0,0.42857142857142855,0,formatog_noctx_d3_p3,1,llama3.1:8b,qald_10-en
6,Time of Contempt; The Last Wish; The Tower of the Swallow,"The Last Wish, The Time of Contempt, Baptism of Fire",0,0,0,1,0,0,4,3,1,1768604601.6754603,23.18202781677246,0,0.75,0,formatog_noctx_d3_p3,1,llama3.1:8b,qald_10-en
7,+100,99.9839,0,0,0,0,0,1,4,3,1,1768604677.047718,22.07220029830933,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,qald_10-en
8,Kyoto City University of Arts,"Seikakusha School, then Kyoto Higher Normal School",0,0,0,1,0,0,1,2,1,1768604743.1109076,12.50255846977234,0,0.16666666666666666,0,formatog_noctx_d3_p3,1,llama3.1:8b,qald_10-en
9,Eastside High School,Eastside High School,0,0,0,0,0,1,5,3,1,1768604822.6757586,23.491981506347656,1,1.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,qald_10-en
10,Java,Java Island,0,0,0,1,0,0,5,3,1,1768605039.7266471,30.852280139923096,0,0.6666666666666666,0,formatog_noctx_d3_p3,1,llama3.1:8b,qald_10-en
11,0,Well-known,0,0,0,0,0,1,5,3,1,1768605168.9128644,29.15494465827942,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,qald_10-en
12,0,Why this value is unknown.,0,0,0,0,0,1,4,3,1,1768605323.7152345,32.421143770217896,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,qald_10-en
13,0,Not enough data to give a conclusive answer,0,0,0,0,0,1,4,3,1,1768605407.0817003,24.67829132080078,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,qald_10-en
14,N,"kavuş, buluş, gömüş",0,0,0,1,0,0,1,2,1,1768605481.4163234,12.683676719665527,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,qald_10-en
15,United Kingdom,England,0,0,0,0,0,1,4,3,1,1768605550.357194,22.118063926696777,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,qald_10-en
16,United Kingdom,United States,0,0,0,1,0,0,4,3,1,1768605612.7607665,45.56467890739441,0,0.5,0,formatog_noctx_d3_p3,1,llama3.1:8b,qald_10-en
17,5,No,0,0,0,0,0,1,5,3,1,1768603811.0453897,26.41786813735962,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,qald_10-en
18,suicide,suicide,0,0,0,0,0,1,4,2,1,1768603880.902108,17.532773733139038,1,1.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,qald_10-en
19,financial services,Banking and Finance,0,0,0,0,0,1,4,3,1,1768603941.749793,26.41959977149963,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,qald_10-en
