question_index,expected_answer,answer,has_err_instruction,has_err_format,has_err_graph,has_err_other,has_err_agent,is_kg_based_answer,kg_calls,agent_calls,reached_depth,start_timestamp,duration,exact_match,f1,is_no_answer,is_kg_and_correct,has_err,has_err_and_correct,method,rep
0,https://www.langenachtderwissenschaften.de/programm/detail/51327,,0,0,0,0,0,0,0,1,0,1768132901.6817005,3.079503059387207,0,0.0,1,0,0,0,io_few_shot,1
1,"Im Kleinsten wird unsere Welt durch die Quantentheorie beschrieben, wie sie vor 100 Jahren formuliert wurde. Ihre Gesetze faszinieren heute nicht weniger als damals, denn sie widersprechen unserer Alltagserfahrung auf bizarre Weise: Teilchen können an verschiedenen Orten gleichzeitig sein sowie durch Barrieren „tunneln“. Und bei der Messung des einen Quantensystems verändert sich auch der Zustand eines anderen, wenn dieses mit dem ersten „verschränkt“ ist. Erkunden Sie die faszinierenden Eigenschaften der Quantenwelt mit Hilfe interaktiver Simulationen und Visualisierungen.",,0,0,0,0,0,0,0,1,0,1768133057.0568476,7.953943252563477,0,0.0,1,0,0,0,io_few_shot,1
2,"Wie kann man Dinge zum Schweben bringen? Student:innen des Projektlabors Physik zeigen euch physikalische Zaubertricks, die Alltagsgegenstände schwerelos machen können. Auch lebendige Flüssigkeiten und optische Täuschungen laden zum Mitmachen und Anfassen ein. Geeignet für Kinder ab 6 Jahren.",,0,0,0,0,0,0,0,1,0,1768133208.8841193,11.791038990020752,0,0.0,1,0,0,0,io_few_shot,1
3,Programmieren lernen für Kinder und Einsteiger:innen,,0,0,0,0,0,0,0,1,0,1768133360.6038027,5.941946029663086,0,0.0,1,0,0,0,io_few_shot,1
4,"Im Kleinsten wird unsere Welt durch die Quantentheorie beschrieben, wie sie vor 100 Jahren formuliert wurde. Ihre Gesetze faszinieren heute nicht weniger als damals, denn sie widersprechen unserer Alltagserfahrung auf bizarre Weise: Teilchen können an verschiedenen Orten gleichzeitig sein sowie durch Barrieren „tunneln“. Und bei der Messung des einen Quantensystems verändert sich auch der Zustand eines anderen, wenn dieses mit dem ersten „verschränkt“ ist. Erkunden Sie die faszinierenden Eigenschaften der Quantenwelt mit Hilfe interaktiver Simulationen und Visualisierungen.",Quantenphysik,0,0,0,0,0,0,0,1,0,1768133485.582344,3.9426698684692383,0,0.0,0,0,0,0,io_few_shot,1
5,https://www.langenachtderwissenschaften.de/programm/detail/51248,,0,0,0,0,0,0,0,1,0,1768133586.8377438,4.339820861816406,0,0.0,1,0,0,0,io_few_shot,1
6,"Unsere Forschungsgruppe baut Organoide, organähnliche Strukturen, aus humanen Stammzellen, um Tierexperimente in der Forschung zu reduzieren. Durch die Kombination von Organoiden simulieren wir in sogenannten Organ-Chips die komplexen Organ-Interaktionen des menschlichen Körpers. Wir erklären Konzept und Funktionsweise solcher Organ-Chips. Es werden Anwendungsgebiete in der Aufklärung pathologischer Prozesse und in der Medikamenten-Entwicklung zur Reduktion von Tierexperimenten dargestellt. Besucher:innen können Organ-Chips zusammenbauen und die magnetische Zellsortierung ausprobieren.",Alternative zu Tierversuchen,0,0,0,0,0,0,0,1,0,1768133729.5920775,4.834786415100098,0,0.03278688524590164,0,0,0,0,io_few_shot,1
7,https://www.langenachtderwissenschaften.de/programm/detail/51514,,0,0,0,0,0,0,0,1,0,1768133959.4614332,7.550311088562012,0,0.0,1,0,0,0,io_few_shot,1
8,"Gestalte Straßen, Radwege, Brücken und mehr mit Klemmbausteinen, und lerne spielerisch, wie moderne Verkehrsplanung funktioniert. Ihr lernt die Funktionen von Straßen kennen, die passenden Verkehrsmittel, um verschiedene Orte zu erreichen, sowie ein Konzept, wie Verkehr nachhaltiger werden kann. Für Kinder ab 6 Jahren und Erwachsene – für alle Altersgruppen ist etwas dabei! Jeder Gast erhält Bausteine, um unsere Stadt wachsen zu lassen. Komm vorbei, und werde Verkehrsplaner:in für einen Abend!",SimCity,0,0,0,0,0,0,0,1,0,1768134115.6166332,4.533728361129761,0,0.0,0,0,0,0,io_few_shot,1
9,"Testen Sie Ihr Wissen über das Universum, und gewinnen Sie kleine Preise – solange der Vorrat reicht! Geeignet ab 6 Jahren.",Astronomie,0,0,0,0,0,0,0,1,0,1768134279.2692084,3.7815327644348145,0,0.0,0,0,0,0,io_few_shot,1
10,Chatbots zur Stärkung der Demokratie,,0,0,0,0,0,0,0,1,0,1768134488.9038727,6.317606210708618,0,0.0,1,0,0,0,io_few_shot,1
11,Live-Musik,Workshop,0,0,0,0,0,0,0,1,0,1768134638.6156285,4.282778739929199,0,0.0,0,0,0,0,io_few_shot,1
12,17:00-21:30 Uhr,,0,0,0,0,0,0,0,1,0,1768134788.7556777,5.023568868637085,0,0.0,1,0,0,0,io_few_shot,1
13,https://www.langenachtderwissenschaften.de/programm/detail/51498,,0,0,0,0,0,0,0,1,0,1768134991.047511,4.983969688415527,0,0.0,1,0,0,0,io_few_shot,1
14,25,50. Jahrestag,0,0,0,0,0,0,0,1,0,1768135121.6031065,3.853274583816528,0,0.0,0,0,0,0,io_few_shot,1
15,https://www.langenachtderwissenschaften.de/programm/detail/51151,,0,0,0,0,0,0,0,1,0,1768135202.3425734,5.077361822128296,0,0.0,1,0,0,0,io_few_shot,1
16,Juri Mertens,,0,0,0,0,0,0,0,1,0,1768135364.413979,3.370251178741455,0,0.0,1,0,0,0,io_few_shot,1
17,"Wissensmarkt (HZA)
Verlängerte Hertzallee
10623 Berlin
",Berlin,0,0,0,0,0,0,0,1,0,1768135516.1910508,3.1608614921569824,0,0.2857142857142857,0,0,0,0,io_few_shot,1
18,https://www.langenachtderwissenschaften.de/programm/detail/51348,,0,0,0,0,0,0,0,1,0,1768135694.1527054,9.314502477645874,0,0.0,1,0,0,0,io_few_shot,1
19,17:30-23:15 Uhr,,0,0,0,0,0,0,0,1,0,1768135833.6972098,4.152024507522583,0,0.0,1,0,0,0,io_few_shot,1
20,"Das Open-Battery-Projekt bietet eine offene Transferplattform für Software- und Hardwarekomponenten, die um ein batteriegestütztes Photovoltaiksystem mit Netzanschluss angesiedelt sind. Dieser quelloffene Ansatz des Projekts ermöglicht es Privatpersonen, Vereinen, Communitys oder Unternehmen auf der ganzen Welt, an der Energiewende teilzunehmen und sie mitzugestalten. Aktuell befindet sich das Open-Battery-Projekt in der Entwicklungsphase. Hardware- und Softwarekomponenten werden zusammen mit Student:innen ausgelegt, aufgebaut und getestet.",Kostengünstige Energie- und Speichersysteme,0,0,0,0,0,0,0,1,0,1768135975.7703035,5.5284082889556885,0,0.03636363636363636,0,0,0,0,io_few_shot,1
21,23:30-00:00 Uhr,,0,0,0,0,0,0,0,1,0,1768136103.7870576,4.083967924118042,0,0.0,1,0,0,0,io_few_shot,1
22,Studentisches Projekt „Automatisiertes Fahren“,,0,0,0,0,0,0,0,1,0,1768136283.1419458,6.610468864440918,0,0.0,1,0,0,0,io_few_shot,1
23,Science Slam – Brainpower mit Entertainment-Faktor,,0,0,0,0,0,0,0,1,0,1768136439.0247805,5.743544816970825,0,0.0,1,0,0,0,io_few_shot,1
24,Turbulentes Chaos: Wie können numerische Simulationen helfen?,,0,0,0,0,0,0,0,1,0,1768136505.5413997,3.96931266784668,0,0.0,1,0,0,0,io_few_shot,1
25,Science Slam – Brainpower mit Entertainment-Faktor,Late Night Snack,0,0,0,0,0,0,0,1,0,1768136706.8036633,4.168196678161621,0,0.0,0,0,0,0,io_few_shot,1
26,Turbulentes Chaos: Wie können numerische Simulationen helfen?,,0,0,0,0,0,0,0,1,0,1768136850.0364354,5.81978702545166,0,0.0,1,0,0,0,io_few_shot,1
27,⚡ Blitztastisch! Die elektrisierende Energieshow für Kinder,,0,0,0,0,0,0,0,1,0,1768137067.433256,4.102364540100098,0,0.0,1,0,0,0,io_few_shot,1
28,Papier macht kreativ – Blumen basteln in der Gartenbaubibliothek,,0,0,0,0,0,0,0,1,0,1768137168.931146,5.418095827102661,0,0.0,1,0,0,0,io_few_shot,1
29,Quantum Walks vs. Drunkard‘s Walk – wie Quantenteilchen schneller ans Ziel kommen,,0,0,0,0,0,0,0,1,0,1768137342.58334,5.373190641403198,0,0.0,1,0,0,0,io_few_shot,1
30,Lokfahren für Anfänger:innen,,0,0,0,0,0,0,0,1,0,1768137481.3428812,4.730136871337891,0,0.0,1,0,0,0,io_few_shot,1
31,Leseabenteuer im Zelt: altersgerechte Bücherwelten für kleine Entdecker:innen,,0,0,0,0,0,0,0,1,0,1768137675.0643146,6.859452247619629,0,0.0,1,0,0,0,io_few_shot,1
32,Leseabenteuer im Zelt: altersgerechte Bücherwelten für kleine Entdecker:innen,,0,0,0,0,0,0,0,1,0,1768137858.4840336,5.4400410652160645,0,0.0,1,0,0,0,io_few_shot,1
33,Eine „Lesepfote“ zu Gast in der Bibliothek,,0,0,0,0,0,0,0,1,0,1768137997.1306193,5.121517658233643,0,0.0,1,0,0,0,io_few_shot,1
34,Kopf trifft Körper: Teste deine Fitness und Motorik im TU-SportLab!,Olympische Spiele,0,0,0,0,0,0,0,1,0,1768138166.3305745,4.392816781997681,0,0.0,0,0,0,0,io_few_shot,1
35,"Haus des Lernens (MAR)
Marchstraße 23
10587 Berlin
Raum MAR 0.011 (EG)",,0,0,0,0,0,0,0,1,0,1768138348.1354537,3.4114136695861816,0,0.0,1,0,0,0,io_few_shot,1
36,Roboter im öffentlichen Raum: Mensch und Maschine mitten im Leben,Künstliche Intelligenz,0,0,0,0,0,0,0,1,0,1768138493.6743348,3.5362296104431152,0,0.0,0,0,0,0,io_few_shot,1
37,Tourismushistorischer Dia- und Filmabend,,0,0,0,0,0,0,0,1,0,1768138703.5989437,5.9513068199157715,0,0.0,1,0,0,0,io_few_shot,1
38,5 Euro,,0,0,0,0,0,0,0,1,0,1768138866.3915029,5.506954669952393,0,0.0,1,0,0,0,io_few_shot,1
39,jedes Alter,,0,0,0,0,0,0,0,1,0,1768139045.6651604,5.143637180328369,0,0.0,1,0,0,0,io_few_shot,1
40,Technische Universität Berlin,,0,0,0,0,0,0,0,1,0,1768139127.0276732,5.47125506401062,0,0.0,1,0,0,0,io_few_shot,1
41,Lange Nacht der Wissenschaften e. V. (LNDW e. V.),,0,0,0,0,0,0,0,1,0,1768139250.2576094,3.8091883659362793,0,0.0,1,0,0,0,io_few_shot,1
42,New Practice in Art and Technology / Workshops,,0,0,0,0,0,0,0,1,0,1768139409.1108289,5.492861032485962,0,0.0,1,0,0,0,io_few_shot,1
43,Veranstaltung auf Englisch,,0,0,0,0,0,0,0,1,0,1768139641.3930838,3.504183292388916,0,0.0,1,0,0,0,io_few_shot,1
44,Unterhaltsame Live-Show – Sport und Musik für Kopf und Körper,,0,0,0,0,0,0,0,1,0,1768139809.973202,7.423482656478882,0,0.0,1,0,0,0,io_few_shot,1
45,21:00-21:20 Uhr,,0,0,0,0,0,0,0,1,0,1768139967.349371,4.666937828063965,0,0.0,1,0,0,0,io_few_shot,1
46,Unterhaltsame Live-Show – Sport und Musik für Kopf und Körper,,0,0,0,0,0,0,0,1,0,1768140151.308981,7.18546199798584,0,0.0,1,0,0,0,io_few_shot,1
47,Historisch-ökologische Exkursion über den Steglitzer Fichtenberg,,0,0,0,0,0,0,0,1,0,1768140311.3765132,6.123120307922363,0,0.0,1,0,0,0,io_few_shot,1
48,Als Eichhörnchen-Detektiv:innen auf den Spuren kleiner Persönlichkeiten der Natur,,0,0,0,0,0,0,0,1,0,1768140415.9420576,5.160170316696167,0,0.0,1,0,0,0,io_few_shot,1
49,"Die verborgene Welt der Wurzeln: schätzen, messen, staunen",,0,0,0,0,0,0,0,1,0,1768140640.8288884,8.096333503723145,0,0.0,1,0,0,0,io_few_shot,1
50,Zukunft der Energie: nachhaltig durch KI,,0,0,0,0,0,0,0,1,0,1768140938.9908292,8.00332498550415,0,0.0,1,0,0,0,io_few_shot,1
51,über 1000,,0,0,0,0,0,0,0,1,0,1768141101.724335,5.679753303527832,0,0.0,1,0,0,0,io_few_shot,1
52,etwa 50,12,0,0,0,0,0,0,0,1,0,1768141239.90275,3.5148353576660156,0,0.0,0,0,0,0,io_few_shot,1
53,Science Slam – Brainpower mit Entertainment-Faktor,Late Night Lab,0,0,0,0,0,0,0,1,0,1768141315.1803782,3.2672619819641113,0,0.0,0,0,0,0,io_few_shot,1
54,Berlin,"Lüdenscheid, Nordrhein-Westfalen",0,0,0,0,0,0,0,1,0,1768141383.8288136,4.610065698623657,0,0.0,0,0,0,0,io_few_shot,1
55,FaSTTUBe – das elektrische Rennauto des Formula Student Team TU Berlin,Formula 1,0,0,0,0,0,0,0,1,0,1768141545.3805816,3.3421897888183594,0,0.1818181818181818,0,0,0,0,io_few_shot,1
56,Wie moderne Mobilfunknetze funktionieren – Identitätsmanagement in 6G-Netzwerken,,0,0,0,0,0,0,0,1,0,1768141744.6241438,3.861938953399658,0,0.0,1,0,0,0,io_few_shot,1
57,"Die Lange Nacht der Wissenschaften in Berlin ist ein Gemeinschaftsprojekt wissenschaftlicher sowie wissenschaftsnaher Einrichtungen der Region und findet einmal jährlich statt. Veranstalter ist der Lange Nacht der Wissenschaften e. V. (LNDW e. V.), in dem sich wissenschaftliche Einrichtungen zusammengeschlossen haben. Finanziert wird die Lange Nacht der Wissenschaften weitgehend von den beteiligten wissenschaftlichen Einrichtungen selbst. Auch die Ticketeinnahmen werden vollständig für die Finanzierung der Gesamtveranstaltung verwendet. Die Lange Nacht der Wissenschaften wird von zahlreichen Partnern aus der Region unterstützt. Über den Einsatz der Mittel entscheidet die Mitgliederversammlung des LNDW e. V.",,0,0,0,0,0,0,0,1,0,1768141907.5366144,9.883665084838867,0,0.0,1,0,0,0,io_few_shot,1
58,"Haus der Ideen (H)
Straße des 17. Juni 135
10623 Berlin
Wangari Maathai-Foyer (Foyer links, ehem. Cafébar, Bereich 0 H)",,0,0,0,0,0,0,0,1,0,1768142041.1340246,4.890247106552124,0,0.0,1,0,0,0,io_few_shot,1
59,17:30-23:20 Uhr,,0,0,0,0,0,0,0,1,0,1768142174.294319,4.938835859298706,0,0.0,1,0,0,0,io_few_shot,1
60,Barrierefreier Rollstuhlzugang,,0,0,0,0,0,0,0,1,0,1768142304.8457744,8.906396389007568,0,0.0,1,0,0,0,io_few_shot,1
61,Experiment,Chemie,0,0,0,0,0,0,0,1,0,1768142474.5433226,3.85628890991211,0,0.0,0,0,0,0,io_few_shot,1
62,Demonstration,Chemie,0,0,0,0,0,0,0,1,0,1768142582.830783,3.9846174716949463,0,0.0,0,0,0,0,io_few_shot,1
63,Fluoreszierender Wärmeübertrager,,0,0,0,0,0,0,0,1,0,1768142752.3258097,8.540444374084473,0,0.0,1,0,0,0,io_few_shot,1
64,Technische Universität Berlin,,0,0,0,0,0,0,0,1,0,1768142955.1466837,7.075171709060669,0,0.0,1,0,0,0,io_few_shot,1
65,Technische Universität Berlin,"Universität Hamburg, Deutsches Elektronen-Synchrotron (DESY), Universität Kiel",0,0,0,0,0,0,0,1,0,1768143031.349476,6.002939701080322,0,0.2,0,0,0,0,io_few_shot,1
66,"Zentrum (u.a. Mitte, Wedding, Moabit, Tiergarten)",,0,0,0,0,0,0,0,1,0,1768143214.6562195,6.475287437438965,0,0.0,1,0,0,0,io_few_shot,1
67,Mitmachexperiment,,0,0,0,0,0,0,0,1,0,1768143332.541393,2.8090391159057617,0,0.0,1,0,0,0,io_few_shot,1
68,Ausstellung,,0,0,0,0,0,0,0,1,0,1768143500.3316717,4.428664445877075,0,0.0,1,0,0,0,io_few_shot,1
69,Wissenschaftliche Ergebnisse offen zugänglich machen durch Information Management,Open Science,0,0,0,0,0,0,0,1,0,1768143566.8895414,3.3044044971466064,0,0.0,0,0,0,0,io_few_shot,1
70,17:00-00:00 Uhr,,0,0,0,0,0,0,0,1,0,1768143675.0723605,4.747349977493286,0,0.0,1,0,0,0,io_few_shot,1
71,Geeignet für Kinder,"Forschende, Wissenschaftler",0,0,0,0,0,0,0,1,0,1768143832.597997,6.521646499633789,0,0.0,0,0,0,0,io_few_shot,1
72,17:00-17:15 Uhr,,0,0,0,0,0,0,0,1,0,1768144007.1961622,5.437166213989258,0,0.0,1,0,0,0,io_few_shot,1
73,"Im Fahrsimulator erleben fahrende Personen realitätsnahes Fahrverhalten mit Rundumsicht. Eine Fahrdynamiksimulation erzeugt das realistische Lenkgefühl, die aktive Pedalerie ermöglicht zum Beispiel das bekannte ABS-Ruckeln. Beim Bremsen und Beschleunigen nickt das Fahrzeug, in Kurven wankt es. Kenngrößen der Mensch-Fahrzeug-Interaktion und des Fahrzustands werden aufgezeichnet und ermöglichen eine Bewertung von Fahrfunktionen und Fahrleistung. So können sicherheitskritische Situationen und deren Beherrschbarkeit bis in den Grenzbereich erprobt und untersucht werden. Geeignet ab 15 Jahren.",Fahrsimulation,0,0,0,0,0,0,0,1,0,1768144223.7709582,5.012188673019409,0,0.0,0,0,0,0,io_few_shot,1
74,21:45-22:00 Uhr,,0,0,0,0,0,0,0,1,0,1768144420.234198,5.192934274673462,0,0.0,1,0,0,0,io_few_shot,1
75,Demonstration,Demonstration,0,0,0,0,0,0,0,1,0,1768144593.2438717,4.763995170593262,1,1.0,0,0,0,0,io_few_shot,1
76,Barrierefreier Rollstuhlzugang,Offener Zugang,0,0,0,0,0,0,0,1,0,1768144710.545593,3.4905261993408203,0,0.0,0,0,0,0,io_few_shot,1
77,17:00-22:00 Uhr,,0,0,0,0,0,0,0,1,0,1768144839.075954,5.092994451522827,0,0.0,1,0,0,0,io_few_shot,1
78,"Westen (u.a. Charlottenburg, Schöneberg, Spandau)",,0,0,0,0,0,0,0,1,0,1768144978.5969174,5.515273094177246,0,0.0,1,0,0,0,io_few_shot,1
79,Mitmachexperiment,Konferenz,0,0,0,0,0,0,0,1,0,1768145139.6936083,3.329526662826538,0,0.0,0,0,0,0,io_few_shot,1
80,Geeignet für Kinder,Studierende und Berufstätige,0,0,0,0,0,0,0,1,0,1768145245.0374603,5.876871347427368,0,0.0,0,0,0,0,io_few_shot,1
81,Detektive im Heizungskeller: intelligente Messtechnik für die Wärmewende von „Delta Heat“,Technische Universität Berlin,0,0,0,0,0,0,0,1,0,1768145428.4711816,3.7184104919433594,0,0.0,0,0,0,0,io_few_shot,1
