question_index,expected_answer,answer,has_err_agent,has_err_graph,has_err_tog,has_err_instruction,has_err_other,is_kg_based_answer,kg_calls,agent_calls,reached_depth,start_timestamp,duration,exact_match,f1,is_no_answer,method,rep,model,questions
0,Bernhard Riemann,Bernhard Riemann,0,0,0,0,0,1,2,2,1,1768631606.1802723,12.226625204086304,1,1.0,0,formatog_d3_p1,1,llama3.1:8b,qald_10-en
1,emu,Dingo,0,0,0,0,0,1,4,4,2,1768631911.6625412,25.383596181869507,0,0.0,0,formatog_d3_p1,1,llama3.1:8b,qald_10-en
2,Yennefer of Vengerberg,Geralt of Rivia,0,0,0,1,0,0,1,2,1,1768632293.1686687,8.889933347702026,0,0.3333333333333333,0,formatog_d3_p1,1,llama3.1:8b,qald_10-en
3,Ma Huateng,Ma Huateng,0,0,0,1,0,0,2,3,1,1768632679.0761285,17.061909437179565,1,1.0,0,formatog_d3_p1,1,llama3.1:8b,qald_10-en
4,Yu Yu Hakusho,Gol D. Roger,0,0,0,0,0,1,2,3,1,1768633759.866887,23.715999364852905,0,0.0,0,formatog_d3_p1,1,llama3.1:8b,qald_10-en
5,New York Stock Exchange; Frankfurt Stock Exchange; SIX Swiss Exchange; XETRA,Frankfurt Stock Exchange,0,0,0,0,0,1,2,2,1,1768634175.0685406,10.714999198913574,0,0.42857142857142855,0,formatog_d3_p1,1,llama3.1:8b,qald_10-en
6,Time of Contempt; The Last Wish; The Tower of the Swallow,Season of Storms,0,0,0,0,0,1,2,2,1,1768634505.7892125,13.98309850692749,0,0.18181818181818182,0,formatog_d3_p1,1,llama3.1:8b,qald_10-en
7,+100,99.9839,0,0,0,0,0,1,2,2,1,1768634999.9797344,11.473687171936035,0,0.0,0,formatog_d3_p1,1,llama3.1:8b,qald_10-en
8,Kyoto City University of Arts,Kyoto City University of Arts,0,0,0,0,0,1,2,2,1,1768635290.8946097,11.8767569065094,1,1.0,0,formatog_d3_p1,1,llama3.1:8b,qald_10-en
9,Eastside High School,Eastside High School,0,0,0,0,0,1,2,3,1,1768631631.1507633,18.032573461532593,1,1.0,0,formatog_d3_p1,1,llama3.1:8b,qald_10-en
10,Java,Java,0,0,0,0,0,1,2,2,1,1768631928.1779878,13.644033908843994,1,1.0,0,formatog_d3_p1,1,llama3.1:8b,qald_10-en
11,0,7,0,0,0,0,0,1,2,3,1,1768632423.3562922,21.741657972335815,0,0.0,0,formatog_d3_p1,1,llama3.1:8b,qald_10-en
12,0,No knowledge about different presidents,0,0,0,0,0,1,2,2,1,1768632878.884104,12.30079174041748,0,0.0,0,formatog_d3_p1,1,llama3.1:8b,qald_10-en
13,0,One,0,0,0,1,0,0,2,3,1,1768633329.088421,16.335589170455933,0,0.0,0,formatog_d3_p1,1,llama3.1:8b,qald_10-en
14,N,"göş, iş, köşk, maş, paş",0,0,0,0,0,1,2,3,1,1768633852.5695229,22.286736965179443,0,0.0,0,formatog_d3_p1,1,llama3.1:8b,qald_10-en
15,United Kingdom,England,0,0,0,0,0,1,2,3,1,1768634249.707886,17.94543218612671,0,0.0,0,formatog_d3_p1,1,llama3.1:8b,qald_10-en
16,United Kingdom,United States,0,0,0,1,0,0,2,3,1,1768634588.792472,15.91572904586792,0,0.5,0,formatog_d3_p1,1,llama3.1:8b,qald_10-en
17,5,1,0,0,0,0,0,1,2,3,1,1768634943.53343,19.569953441619873,0,0.0,0,formatog_d3_p1,1,llama3.1:8b,qald_10-en
18,suicide,gunshot wound,0,0,0,0,0,1,2,2,1,1768631722.321125,12.253409385681152,0,0.0,0,formatog_d3_p1,1,llama3.1:8b,qald_10-en
19,financial services,Finance,0,0,0,0,0,1,2,3,1,1768631978.4893098,19.02862524986267,0,0.0,0,formatog_d3_p1,1,llama3.1:8b,qald_10-en
