question_index,expected_answer,answer,has_err_agent,has_err_graph,has_err_tog,has_err_instruction,has_err_other,is_kg_based_answer,kg_calls,agent_calls,reached_depth,start_timestamp,duration,exact_match,f1,is_no_answer,method,rep,model,questions
0,https://www.langenachtderwissenschaften.de/programm/detail/51327,https://www.tu-berlin.de/,0,0,0,0,0,1,4,2,1,1768715808.404316,10.314404487609863,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,lndw25
1,"Im Kleinsten wird unsere Welt durch die Quantentheorie beschrieben, wie sie vor 100 Jahren formuliert wurde. Ihre Gesetze faszinieren heute nicht weniger als damals, denn sie widersprechen unserer Alltagserfahrung auf bizarre Weise: Teilchen können an verschiedenen Orten gleichzeitig sein sowie durch Barrieren „tunneln“. Und bei der Messung des einen Quantensystems verändert sich auch der Zustand eines anderen, wenn dieses mit dem ersten „verschränkt“ ist. Erkunden Sie die faszinierenden Eigenschaften der Quantenwelt mit Hilfe interaktiver Simulationen und Visualisierungen.",Lange Nacht der Wissenschaften 2025,0,0,0,0,0,1,6,2,1,1768715857.0520234,8.168955564498901,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,lndw25
2,"Wie kann man Dinge zum Schweben bringen? Student:innen des Projektlabors Physik zeigen euch physikalische Zaubertricks, die Alltagsgegenstände schwerelos machen können. Auch lebendige Flüssigkeiten und optische Täuschungen laden zum Mitmachen und Anfassen ein. Geeignet für Kinder ab 6 Jahren.",Flugsimulator MARS,0,0,0,0,0,1,6,2,1,1768715913.918062,11.141902685165403,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,lndw25
3,Programmieren lernen für Kinder und Einsteiger:innen,Datenschutz,0,0,0,1,0,0,10,6,2,1768716001.3612971,27.57074499130249,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,lndw25
4,"Im Kleinsten wird unsere Welt durch die Quantentheorie beschrieben, wie sie vor 100 Jahren formuliert wurde. Ihre Gesetze faszinieren heute nicht weniger als damals, denn sie widersprechen unserer Alltagserfahrung auf bizarre Weise: Teilchen können an verschiedenen Orten gleichzeitig sein sowie durch Barrieren „tunneln“. Und bei der Messung des einen Quantensystems verändert sich auch der Zustand eines anderen, wenn dieses mit dem ersten „verschränkt“ ist. Erkunden Sie die faszinierenden Eigenschaften der Quantenwelt mit Hilfe interaktiver Simulationen und Visualisierungen.",Eine Veranstaltung über Quantenphysik mit interaktiven Simulationen,0,0,0,1,0,0,4,3,1,1768716063.5754125,15.494799613952637,0,0.05479452054794521,0,formatog_noctx_d3_p3,1,llama4:scout,lndw25
5,https://www.langenachtderwissenschaften.de/programm/detail/51248,https://www.eventbrite.de/e/science-slam-brainpower-mit-entertainment-faktor-tickets-90123456789,0,0,0,1,0,0,1,2,1,1768716107.6798108,7.665768146514893,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,lndw25
6,"Unsere Forschungsgruppe baut Organoide, organähnliche Strukturen, aus humanen Stammzellen, um Tierexperimente in der Forschung zu reduzieren. Durch die Kombination von Organoiden simulieren wir in sogenannten Organ-Chips die komplexen Organ-Interaktionen des menschlichen Körpers. Wir erklären Konzept und Funktionsweise solcher Organ-Chips. Es werden Anwendungsgebiete in der Aufklärung pathologischer Prozesse und in der Medikamenten-Entwicklung zur Reduktion von Tierexperimenten dargestellt. Besucher:innen können Organ-Chips zusammenbauen und die magnetische Zellsortierung ausprobieren.",Thema der Veranstaltung ist die Anwendung von kombinierten Organmodellen als Alternative zu Tierversuchen.,0,0,0,0,0,1,5,3,1,1768716144.9454076,16.43942093849182,0,0.05797101449275362,0,formatog_noctx_d3_p3,1,llama4:scout,lndw25
7,https://www.langenachtderwissenschaften.de/programm/detail/51514,https://www.tu.berlin/,0,0,0,0,0,1,6,3,1,1768716207.9121008,16.033694744110107,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,lndw25
8,"Gestalte Straßen, Radwege, Brücken und mehr mit Klemmbausteinen, und lerne spielerisch, wie moderne Verkehrsplanung funktioniert. Ihr lernt die Funktionen von Straßen kennen, die passenden Verkehrsmittel, um verschiedene Orte zu erreichen, sowie ein Konzept, wie Verkehr nachhaltiger werden kann. Für Kinder ab 6 Jahren und Erwachsene – für alle Altersgruppen ist etwas dabei! Jeder Gast erhält Bausteine, um unsere Stadt wachsen zu lassen. Komm vorbei, und werde Verkehrsplaner:in für einen Abend!",VW SimCity ist eine Veranstaltung.,0,0,0,0,0,1,5,2,1,1768716275.3458889,7.793313503265381,0,0.028571428571428574,0,formatog_noctx_d3_p3,1,llama4:scout,lndw25
9,"Testen Sie Ihr Wissen über das Universum, und gewinnen Sie kleine Preise – solange der Vorrat reicht! Geeignet ab 6 Jahren.",Astrophysik,0,0,0,1,0,0,4,3,1,1768716326.9423556,22.92967748641968,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,lndw25
10,Chatbots zur Stärkung der Demokratie,Flugsimulator MARS,0,0,0,0,0,1,12,5,2,1768716397.2990756,27.2937433719635,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,lndw25
11,Live-Musik,Mitmachexperiment,0,0,0,0,0,1,5,3,1,1768716474.2070658,13.661092758178713,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,lndw25
12,17:00-21:30 Uhr,17:00-21:30 Uhr,0,0,0,0,0,1,4,3,1,1768716526.5780246,13.814387559890749,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,lndw25
13,https://www.langenachtderwissenschaften.de/programm/detail/51498,https://www.langenachtderwissenschaften.de,0,0,0,0,0,1,4,2,1,1768716568.4687357,8.021258115768433,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,lndw25
14,25,Lange Nacht der Wissenschaften 2025,0,0,0,0,0,1,4,3,1,1768716610.5520658,14.06771755218506,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,lndw25
15,https://www.langenachtderwissenschaften.de/programm/detail/51151,https://www.raumfahrtinstitut.de/,0,0,0,0,0,1,4,1,1,1768716647.6231923,2.4069433212280273,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,lndw25
16,Juri Mertens,,0,0,0,1,0,0,10,6,2,1768716719.422889,33.430869579315186,0,0.0,1,formatog_noctx_d3_p3,1,llama4:scout,lndw25
17,"Wissensmarkt (HZA)
Verlängerte Hertzallee
10623 Berlin
",,0,0,0,1,0,0,4,3,1,1768716782.3408625,12.740208387374878,0,0.0,1,formatog_noctx_d3_p3,1,llama4:scout,lndw25
18,https://www.langenachtderwissenschaften.de/programm/detail/51348,Technische Universität Berlin,0,0,0,0,0,1,4,3,1,1768716831.0541985,13.416629791259766,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,lndw25
19,17:30-23:15 Uhr,17:30-23:15 Uhr,0,0,0,0,0,1,4,3,1,1768716877.709738,12.514023542404177,1,1.0,0,formatog_noctx_d3_p3,1,llama4:scout,lndw25
20,"Das Open-Battery-Projekt bietet eine offene Transferplattform für Software- und Hardwarekomponenten, die um ein batteriegestütztes Photovoltaiksystem mit Netzanschluss angesiedelt sind. Dieser quelloffene Ansatz des Projekts ermöglicht es Privatpersonen, Vereinen, Communitys oder Unternehmen auf der ganzen Welt, an der Energiewende teilzunehmen und sie mitzugestalten. Aktuell befindet sich das Open-Battery-Projekt in der Entwicklungsphase. Hardware- und Softwarekomponenten werden zusammen mit Student:innen ausgelegt, aufgebaut und getestet.",Open Battery – Open-Source-Hardware-Plattform für kostengünstige Energie- und Speichersysteme,0,0,0,0,0,1,4,2,1,1768716921.6300805,10.001069068908691,0,0.06666666666666667,0,formatog_noctx_d3_p3,1,llama4:scout,lndw25
21,23:30-00:00 Uhr,17:00 Uhr,0,0,0,0,0,1,4,3,1,1768716967.2834234,13.676315307617188,0,0.5,0,formatog_noctx_d3_p3,1,llama4:scout,lndw25
22,Studentisches Projekt „Automatisiertes Fahren“,,0,0,0,1,0,0,11,6,2,1768717031.5361888,28.88730812072754,0,0.0,1,formatog_noctx_d3_p3,1,llama4:scout,lndw25
23,Science Slam – Brainpower mit Entertainment-Faktor,,0,0,0,1,0,0,4,2,1,1768717113.034505,12.694884061813354,0,0.0,1,formatog_noctx_d3_p3,1,llama4:scout,lndw25
24,Turbulentes Chaos: Wie können numerische Simulationen helfen?,,0,0,0,0,0,0,13,8,3,1768717177.976833,32.17981457710266,0,0.0,1,formatog_noctx_d3_p3,1,llama4:scout,lndw25
25,Science Slam – Brainpower mit Entertainment-Faktor,,0,0,0,1,0,0,6,3,1,1768717252.8192966,15.699669361114502,0,0.0,1,formatog_noctx_d3_p3,1,llama4:scout,lndw25
26,Turbulentes Chaos: Wie können numerische Simulationen helfen?,⚡ Blitztastisch! Die elektrisierende Energieshow für Kinder,0,0,0,0,0,1,6,2,1,1768717321.5083556,10.871955394744871,0,0.0,0,formatog_noctx_d3_p3,1,llama4:scout,lndw25
27,⚡ Blitztastisch! Die elektrisierende Energieshow für Kinder,,0,0,0,1,0,0,3,2,1,1768717381.7977245,6.654820203781128,0,0.0,1,formatog_noctx_d3_p3,1,llama4:scout,lndw25
28,Papier macht kreativ – Blumen basteln in der Gartenbaubibliothek,,0,0,0,1,0,0,10,5,2,1768717438.964386,24.730036735534668,0,0.0,1,formatog_noctx_d3_p3,1,llama4:scout,lndw25
