metric,method,count,mean,std,min,25%,50%,75%,max,sum
has_err,cot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err,formatog_d3_p3,333.0,0.6666666666666666,0.4721139335637747,0.0,0.0,1.0,1.0,1.0,222.0
has_err,formatog_noctx_d3_p3,333.0,0.6306306306306306,0.48336037457526543,0.0,0.0,1.0,1.0,1.0,210.0
has_err,io_few_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err,io_zero_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err,tog_d3_p3,333.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,333.0
has_err_and_correct,cot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,formatog_d3_p3,333.0,0.1111111111111111,0.31474262237584977,0.0,0.0,0.0,0.0,1.0,37.0
has_err_and_correct,formatog_noctx_d3_p3,333.0,0.09009009009009009,0.2867416520002968,0.0,0.0,0.0,0.0,1.0,30.0
has_err_and_correct,io_few_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,io_zero_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,tog_d3_p3,333.0,0.1981981981981982,0.39924219978996367,0.0,0.0,0.0,0.0,1.0,66.0
has_err_instruction,cot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_instruction,formatog_d3_p3,333.0,0.3183183183183183,0.4665247648298781,0.0,0.0,0.0,1.0,1.0,106.0
has_err_instruction,formatog_noctx_d3_p3,333.0,0.29429429429429427,0.4564106926430549,0.0,0.0,0.0,1.0,1.0,98.0
has_err_instruction,io_few_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_instruction,io_zero_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_instruction,tog_d3_p3,333.0,0.984984984984985,0.12179536616658855,0.0,1.0,1.0,1.0,1.0,328.0
has_err_format,cot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d3_p3,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_noctx_d3_p3,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,io_few_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,io_zero_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,tog_d3_p3,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,cot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_d3_p3,333.0,0.04504504504504504,0.20771508176766548,0.0,0.0,0.0,0.0,1.0,15.0
has_err_graph,formatog_noctx_d3_p3,333.0,0.04504504504504504,0.20771508176766548,0.0,0.0,0.0,0.0,1.0,15.0
has_err_graph,io_few_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,io_zero_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,tog_d3_p3,333.0,0.02702702702702703,0.16240619866164335,0.0,0.0,0.0,0.0,1.0,9.0
has_err_other,cot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_other,formatog_d3_p3,333.0,0.3033033033033033,0.4603768962987629,0.0,0.0,0.0,1.0,1.0,101.0
has_err_other,formatog_noctx_d3_p3,333.0,0.2912912912912913,0.4550411895322421,0.0,0.0,0.0,1.0,1.0,97.0
has_err_other,io_few_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_other,io_zero_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_other,tog_d3_p3,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,cot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d3_p3,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_noctx_d3_p3,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,io_few_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,io_zero_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,tog_d3_p3,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_based_answer,cot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_based_answer,formatog_d3_p3,333.0,0.3333333333333333,0.47211393356377473,0.0,0.0,0.0,1.0,1.0,111.0
is_kg_based_answer,formatog_noctx_d3_p3,333.0,0.36936936936936937,0.48336037457526543,0.0,0.0,0.0,1.0,1.0,123.0
is_kg_based_answer,io_few_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_based_answer,io_zero_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_based_answer,tog_d3_p3,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_and_correct,cot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_and_correct,formatog_d3_p3,333.0,0.1891891891891892,0.3922482351203934,0.0,0.0,0.0,0.0,1.0,63.0
is_kg_and_correct,formatog_noctx_d3_p3,333.0,0.2072072072072072,0.4059152335345024,0.0,0.0,0.0,0.0,1.0,69.0
is_kg_and_correct,io_few_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_and_correct,io_zero_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_and_correct,tog_d3_p3,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kg_calls,cot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kg_calls,formatog_d3_p3,333.0,3.714714714714715,1.3969608772129405,1.0,3.0,4.0,5.0,6.0,1237.0
kg_calls,formatog_noctx_d3_p3,333.0,3.780780780780781,1.3742434906804915,1.0,4.0,4.0,5.0,6.0,1259.0
kg_calls,io_few_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kg_calls,io_zero_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kg_calls,tog_d3_p3,333.0,1.4894894894894894,0.6381760842413559,1.0,1.0,1.0,2.0,4.0,496.0
agent_calls,cot,333.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,333.0
agent_calls,formatog_d3_p3,333.0,2.84984984984985,0.8546338828835233,1.0,2.0,3.0,4.0,4.0,949.0
agent_calls,formatog_noctx_d3_p3,333.0,2.8468468468468466,0.8380793971164378,1.0,2.0,3.0,3.0,4.0,948.0
agent_calls,io_few_shot,333.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,333.0
agent_calls,io_zero_shot,333.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,333.0
agent_calls,tog_d3_p3,333.0,2.4684684684684686,0.6830982723999379,1.0,2.0,2.0,3.0,6.0,822.0
reached_depth,cot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reached_depth,formatog_d3_p3,333.0,1.3093093093093093,0.4629044670402812,1.0,1.0,1.0,2.0,2.0,436.0
reached_depth,formatog_noctx_d3_p3,333.0,1.2972972972972974,0.4577563392978542,1.0,1.0,1.0,2.0,2.0,432.0
reached_depth,io_few_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reached_depth,io_zero_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reached_depth,tog_d3_p3,333.0,1.003003003003003,0.054799662435119086,1.0,1.0,1.0,1.0,2.0,334.0
duration,cot,333.0,3.018529561188844,0.7649973915201405,2.091141939163208,2.543484926223755,2.8613131046295166,3.259296178817749,9.049034118652344,1005.170343875885
duration,formatog_d3_p3,333.0,16.98806395115437,14.542025444172495,1.635740041732788,10.070229768753052,13.396263599395752,17.023945569992065,105.17598628997804,5657.0252957344055
duration,formatog_noctx_d3_p3,333.0,12.709479077084286,10.24432932904515,1.3848021030426023,7.830400228500366,11.442620992660522,13.48674774169922,79.68390941619873,4232.256532669067
duration,io_few_shot,333.0,1.8140383325181566,0.5534819647308014,1.4040467739105225,1.5866386890411377,1.691587209701538,1.832453966140747,8.92342472076416,604.0747647285461
duration,io_zero_shot,333.0,2.0989818780629843,0.7273789320705414,1.3236973285675049,1.6656005382537842,1.900916576385498,2.3230931758880615,8.852257013320923,698.9609653949738
duration,tog_d3_p3,333.0,19.598915929192895,9.042864697445228,2.7372853755950928,13.205708265304564,17.29215669631958,24.008706092834473,81.15438270568848,6526.439004421234
exact_match,cot,333.0,0.23123123123123124,0.42225440282893356,0.0,0.0,0.0,0.0,1.0,77.0
exact_match,formatog_d3_p3,333.0,0.3003003003003003,0.4590783392802312,0.0,0.0,0.0,1.0,1.0,100.0
exact_match,formatog_noctx_d3_p3,333.0,0.2972972972972973,0.4577563392978541,0.0,0.0,0.0,1.0,1.0,99.0
exact_match,io_few_shot,333.0,0.2222222222222222,0.41636535289940596,0.0,0.0,0.0,0.0,1.0,74.0
exact_match,io_zero_shot,333.0,0.23423423423423423,0.42415660372925673,0.0,0.0,0.0,0.0,1.0,78.0
exact_match,tog_d3_p3,333.0,0.1981981981981982,0.39924219978996367,0.0,0.0,0.0,0.0,1.0,66.0
