metric,method,count,mean,std,min,25%,50%,75%,max,sum
has_err,cot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err,formatog_d3_p3,333.0,0.3963963963963964,0.48988465471653014,0.0,0.0,0.0,1.0,1.0,132.0
has_err,formatog_noctx_d3_p3,333.0,0.3483483483483483,0.47716403557072834,0.0,0.0,0.0,1.0,1.0,116.0
has_err,io_few_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err,io_zero_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err,tog_d3_p3,333.0,0.9459459459459459,0.22646462413591478,0.0,1.0,1.0,1.0,1.0,315.0
has_err_and_correct,cot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,formatog_d3_p3,333.0,0.03303303303303303,0.17899179355083317,0.0,0.0,0.0,0.0,1.0,11.0
has_err_and_correct,formatog_noctx_d3_p3,333.0,0.04804804804804805,0.21418964144820016,0.0,0.0,0.0,0.0,1.0,16.0
has_err_and_correct,io_few_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,io_zero_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,tog_d3_p3,333.0,0.07207207207207207,0.25899638476258924,0.0,0.0,0.0,0.0,1.0,24.0
has_err_instruction,cot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_instruction,formatog_d3_p3,333.0,0.27927927927927926,0.44932019276188256,0.0,0.0,0.0,1.0,1.0,93.0
has_err_instruction,formatog_noctx_d3_p3,333.0,0.23723723723723725,0.42602908103358395,0.0,0.0,0.0,0.0,1.0,79.0
has_err_instruction,io_few_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_instruction,io_zero_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_instruction,tog_d3_p3,333.0,0.9429429429429429,0.23230067188101985,0.0,1.0,1.0,1.0,1.0,314.0
has_err_format,cot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d3_p3,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_noctx_d3_p3,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,io_few_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,io_zero_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,tog_d3_p3,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,cot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_d3_p3,333.0,0.02702702702702703,0.16240619866164338,0.0,0.0,0.0,0.0,1.0,9.0
has_err_graph,formatog_noctx_d3_p3,333.0,0.036036036036036036,0.1866603090821648,0.0,0.0,0.0,0.0,1.0,12.0
has_err_graph,io_few_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,io_zero_shot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,tog_d3_p3,333.0,0.021021021021021023,0.14367018845523108,0.0,0.0,0.0,0.0,1.0,7.0
has_err_other,cot,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_other,formatog_d3_p3,333.0,0.09009009009009009,0.28674165200029683,0.0,0.0,0.0,0.0,1.0,30.0
