question_index,expected_answer,answer,has_err_instruction,has_err_format,has_err_graph,has_err_other,has_err_agent,is_kg_based_answer,kg_calls,agent_calls,reached_depth,start_timestamp,duration,exact_match,f1,is_no_answer,is_kg_and_correct,has_err,has_err_and_correct,method,rep
0,Bernhard Riemann,Bernhard Riemann,0,0,0,0,0,0,0,1,0,1768002966.36182,13.1554696559906,1,1.0,0,0,0,0,io_few_shot,1
1,emu,Pig,0,0,0,0,0,0,0,1,0,1768003154.7554514,5.496872663497925,0,0.0,0,0,0,0,io_few_shot,1
2,Yennefer of Vengerberg,Geralt of Rivia,0,0,0,0,0,0,0,1,0,1768003288.1472564,12.705609321594238,0,0.3333333333333333,0,0,0,0,io_few_shot,1
3,Ma Huateng,Mao Daqing,0,0,0,0,0,0,0,1,0,1768003525.8095458,3.619118452072144,0,0.0,0,0,0,0,io_few_shot,1
4,Yu Yu Hakusho,Chimera Ant Arc,0,0,0,0,0,0,0,1,0,1768003808.258902,4.184255599975586,0,0.0,0,0,0,0,io_few_shot,1
5,New York Stock Exchange; Frankfurt Stock Exchange; SIX Swiss Exchange; XETRA,"Xetra, Frankfurt Stock Exchange, Euronext Paris, SIX Swiss Exchange, Munich Stock Exchange",0,0,0,0,0,0,0,1,0,1768003922.440636,6.515118598937988,0,0.7826086956521738,0,0,0,0,io_few_shot,1
6,Time of Contempt; The Last Wish; The Tower of the Swallow,"Saperawi, The Last Wish, and Season of Storms",0,0,0,0,0,0,0,1,0,1768004016.4832714,7.273007392883301,0,0.39999999999999997,0,0,0,0,io_few_shot,1
7,+100,100 degrees Celsius at standard atmospheric pressure,0,0,0,0,0,0,0,1,0,1768004101.2060485,3.817340612411499,0,0.25,0,0,0,0,io_few_shot,1
8,Kyoto City University of Arts,"Seikyo Academy, then the Kyoto School of Arts and Crafts",0,0,0,0,0,0,0,1,0,1768004160.9626052,5.154430627822876,0,0.42857142857142855,0,0,0,0,io_few_shot,1
9,Eastside High School,"Steinhardt High School then known as the Washington Irving High School, in New York City",0,0,0,0,0,0,0,1,0,1768004411.061984,4.935044050216675,0,0.23529411764705882,0,0,0,0,io_few_shot,1
10,Java,Java,0,0,0,0,0,0,0,1,0,1768004609.0259695,3.31197190284729,1,1.0,0,0,0,0,io_few_shot,1
11,0,4,0,0,0,0,0,0,0,1,0,1768004819.5365615,3.623904228210449,0,0.0,0,0,0,0,io_few_shot,1
12,0,8,0,0,0,0,0,0,0,1,0,1768005030.2432718,8.161631107330322,0,0.0,0,0,0,0,io_few_shot,1
13,0,1.4,0,0,0,0,0,0,0,1,0,1768005203.5881298,4.3157126903533936,0,0.0,0,0,0,0,io_few_shot,1
14,N,"[bukş, kuşturüş, küştürüş, kuştürküş, küştürküş, kusturüş]",0,0,0,0,0,0,0,1,0,1768005349.9528325,7.9492387771606445,0,0.0,0,0,0,0,io_few_shot,1
15,United Kingdom,England,0,0,0,0,0,0,0,1,0,1768005444.805748,3.170088768005371,0,0.0,0,0,0,0,io_few_shot,1
16,United Kingdom,United States,0,0,0,0,0,0,0,1,0,1768005597.675481,20.25254726409912,0,0.5,0,0,0,0,io_few_shot,1
17,5,2,0,0,0,0,0,0,0,1,0,1768003101.2161684,4.500425577163696,0,0.0,0,0,0,0,io_few_shot,1
18,suicide,self-inflicted gunshot wound to the head,0,0,0,0,0,0,0,1,0,1768003177.8822093,3.8891854286193848,0,0.0,0,0,0,0,io_few_shot,1
19,financial services,"Banking, Textiles, Mining, and Trade",0,0,0,0,0,0,0,1,0,1768003321.8960989,4.217838525772095,0,0.0,0,0,0,0,io_few_shot,1
20,Amerika Birleşik Devletleri,Amerika Birleşik Devletleri,0,0,0,0,0,0,0,1,0,1768003473.714736,3.826544761657715,1,1.0,0,0,0,0,io_few_shot,1
21,+157,157.38 meters (516.3 ft),0,0,0,0,0,0,0,1,0,1768003573.75773,4.22936224937439,0,0.0,0,0,0,0,io_few_shot,1
22,哈茨山,张亞,0,0,0,0,0,0,0,1,0,1768003705.9405415,3.8594796657562256,0,0.0,0,0,0,0,io_few_shot,1
23,1,One,0,0,0,0,0,0,0,1,0,1768003823.4520714,3.9258687496185303,0,0.0,0,0,0,0,io_few_shot,1
24,28,Well over 10.,0,0,0,0,0,0,0,1,0,1768003980.294593,4.547243118286133,0,0.0,0,0,0,0,io_few_shot,1
25,18,11,0,0,0,0,0,0,0,1,0,1768004085.2383642,5.165726661682129,0,0.0,0,0,0,0,io_few_shot,1
26,7,.,0,0,0,0,0,0,0,1,0,1768004288.1377337,5.318298101425171,0,0.0,0,0,0,0,io_few_shot,1
27,26,Over 5000 known and documented across the globe.,0,0,0,0,0,0,0,1,0,1768004395.772304,4.448285818099976,0,0.0,0,0,0,0,io_few_shot,1
28,0,11,0,0,0,0,0,0,0,1,0,1768004647.860987,3.573791265487671,0,0.0,0,0,0,0,io_few_shot,1
29,0,"None, but they appeared together on an All NBA team once",0,0,0,0,0,0,0,1,0,1768004917.5080645,4.975205898284912,0,0.0,0,0,0,0,io_few_shot,1
30,125,6,0,0,0,0,0,0,0,1,0,1768005073.3906631,5.072243452072144,0,0.0,0,0,0,0,io_few_shot,1
31,0,"Heartless, Throned with the Devils, Kingdom of Exile, House of Earth and Blood, A Court of Thorns and Roses series (5 books), Throne of Glass series (7 books), Crescent City series (2 books),",0,0,0,0,0,0,0,1,0,1768005177.7424362,6.427531719207764,0,0.0,0,0,0,0,io_few_shot,1
32,0,Yes,0,0,0,0,0,0,0,1,0,1768005337.7500408,4.419777154922485,0,0.0,0,0,0,0,io_few_shot,1
33,0,4,0,0,0,0,0,0,0,1,0,1768005446.9927285,3.379906415939331,0,0.0,0,0,0,0,io_few_shot,1
34,12,"So, let's list the 12 Chinese Zodiac Animals: Rat, Ox (or Cow), Tiger, Rabbit (or Hare), Dragon, Snake, Horse, Goat (or Sheep), Monkey, Rooster, Dog, and Pig. There are 12 in total.",0,0,0,0,0,0,0,1,0,1768002852.9432583,5.458475112915039,0,0.0625,0,0,0,0,io_few_shot,1
35,3,12,0,0,0,0,0,0,0,1,0,1768003007.158102,2.7229180335998535,0,0.0,0,0,0,0,io_few_shot,1
36,79,4,0,0,0,0,0,0,0,1,0,1768003178.455303,4.145918607711792,0,0.0,0,0,0,0,io_few_shot,1
37,2,"Itombos and Apple (2 main companies), but also Pixar, NeXT. However, the primary focus is on Apple.",0,0,0,0,0,0,0,1,0,1768003353.9817626,4.881364583969116,0,0.11764705882352941,0,0,0,0,io_few_shot,1
38,1,12 countries,0,0,0,0,0,0,0,1,0,1768003453.2917802,2.727750301361084,0,0.0,0,0,0,0,io_few_shot,1
39,189,"But not including Taiwan, there are 2: Holy See and Palestine.",0,0,0,0,0,0,0,1,0,1768003560.955331,4.243637561798096,0,0.0,0,0,0,0,io_few_shot,1
40,12,12,0,0,0,0,0,0,0,1,0,1768003792.2437418,2.5417940616607666,1,1.0,0,0,0,0,io_few_shot,1
41,0,14,0,0,0,0,0,0,0,1,0,1768003872.5004537,3.1686043739318848,0,0.0,0,0,0,0,io_few_shot,1
42,5,"6 main dragons, Daenerys' 3 and Viserion (after death as an ice dragon) plus Drogon's offspring Rhaegal's, Aegon's and Eila-San (the lost pup), however there are many minor ones.",0,0,0,0,0,0,0,1,0,1768004038.8401933,8.921720504760742,0,0.0,0,0,0,0,io_few_shot,1
43,0,59,0,0,0,0,0,0,0,1,0,1768004278.4189055,2.954082727432251,0,0.0,0,0,0,0,io_few_shot,1
44,5,"Iron Man, Ghost in the Shell (1995), Ghost in the Shell: Stand Alone Complex - Solid State Society, Ghost in the Shell 2: Innocence",0,0,0,0,0,0,0,1,0,1768004374.4498782,4.504438877105713,0,0.0,0,0,0,0,io_few_shot,1
45,11,7,0,0,0,0,0,0,0,1,0,1768004439.8745737,2.618864059448242,0,0.0,0,0,0,0,io_few_shot,1
46,0,"name: Elizabeth Alexandra Mary, commonly known as Elizabeth II, holds the name 'Elizabeth' and also referred to in full as Elizabeth Alexandra Mary.",0,0,0,0,0,0,0,1,0,1768004526.2626164,3.917338371276855,0,0.0,0,0,0,0,io_few_shot,1
47,0,6,0,0,0,0,0,0,0,1,0,1768004730.8319578,2.6436047554016113,0,0.0,0,0,0,0,io_few_shot,1
48,0,Some Supreme Leaders are considered Heads of State.,0,0,0,0,0,0,0,1,0,1768004831.8711276,3.7206180095672607,0,0.0,0,0,0,0,io_few_shot,1
49,8,over 1 million,0,0,0,0,0,0,0,1,0,1768004911.342389,3.160867214202881,0,0.0,0,0,0,0,io_few_shot,1
50,111892,"Funchal has approximately 115,940 inhabitants.",0,0,0,0,0,0,0,1,0,1768004974.0618556,3.6166200637817383,0,0.0,0,0,0,0,io_few_shot,1
51,3,"Ippei Shiine, Yasunari Kawabata, Yukio Mishima, Kenzaburo Oe, Kazuo Ishiguro and Haruki Murakami",0,0,0,0,0,0,0,1,0,1768002918.6075296,4.752853870391846,0,0.0,0,0,0,0,io_few_shot,1
52,1,"For official purposes, 22 scheduled languages and for informal purposes over 1,600 languages are spoken. Over 120 languages with more than 10,000 speakers each.",0,0,0,0,0,0,0,1,0,1768003014.648331,4.6634697914123535,0,0.0,0,0,0,0,io_few_shot,1
53,6,"Many, due to its ability to appear differently under various lighting conditions and impurities.",0,0,0,0,0,0,0,1,0,1768003113.769113,5.7308714389801025,0,0.0,0,0,0,0,io_few_shot,1
54,12,The Fauvist movement was led by Henri Matisse and André Derain.,0,0,0,0,0,0,0,1,0,1768003189.0259411,3.437490940093994,0,0.0,0,0,0,0,io_few_shot,1
55,0,3,0,0,0,0,0,0,0,1,0,1768003364.7351727,3.0094153881073,0,0.0,0,0,0,0,io_few_shot,1
56,5,5,0,0,0,0,0,0,0,1,0,1768003560.297818,2.5942859649658203,1,1.0,0,0,0,0,io_few_shot,1
57,8,5,0,0,0,0,0,0,0,1,0,1768003675.5105834,2.5460963249206543,0,0.0,0,0,0,0,io_few_shot,1
58,31,30,0,0,0,0,0,0,0,1,0,1768003929.7568848,2.7453222274780273,0,0.0,0,0,0,0,io_few_shot,1
59,17,>=15,0,0,0,0,0,0,0,1,0,1768004010.463356,3.8751747608184814,0,0.0,0,0,0,0,io_few_shot,1
60,13,12,0,0,0,0,0,0,0,1,0,1768004224.5767207,2.7644033432006836,0,0.0,0,0,0,0,io_few_shot,1
61,21,Its author wrote around 14 other notable works.,0,0,0,0,0,0,0,1,0,1768004312.6390986,3.8943259716033936,0,0.0,0,0,0,0,io_few_shot,1
