question_index,expected_answer,answer,has_err_instruction,has_err_format,has_err_graph,has_err_other,has_err_agent,is_kg_based_answer,kg_calls,agent_calls,reached_depth,start_timestamp,duration,exact_match,f1,is_no_answer,is_kg_and_correct,has_err,has_err_and_correct,method,rep
0,https://www.langenachtderwissenschaften.de/programm/detail/51327,,0,0,0,0,0,0,0,1,0,1768126805.730543,1.38093900680542,0,0.0,1,0,0,0,io_few_shot,1
1,"Im Kleinsten wird unsere Welt durch die Quantentheorie beschrieben, wie sie vor 100 Jahren formuliert wurde. Ihre Gesetze faszinieren heute nicht weniger als damals, denn sie widersprechen unserer Alltagserfahrung auf bizarre Weise: Teilchen können an verschiedenen Orten gleichzeitig sein sowie durch Barrieren „tunneln“. Und bei der Messung des einen Quantensystems verändert sich auch der Zustand eines anderen, wenn dieses mit dem ersten „verschränkt“ ist. Erkunden Sie die faszinierenden Eigenschaften der Quantenwelt mit Hilfe interaktiver Simulationen und Visualisierungen.",,0,0,0,0,0,0,0,1,0,1768126869.3981912,1.2518160343170166,0,0.0,1,0,0,0,io_few_shot,1
2,"Wie kann man Dinge zum Schweben bringen? Student:innen des Projektlabors Physik zeigen euch physikalische Zaubertricks, die Alltagsgegenstände schwerelos machen können. Auch lebendige Flüssigkeiten und optische Täuschungen laden zum Mitmachen und Anfassen ein. Geeignet für Kinder ab 6 Jahren.",Die Lange Nacht der Wissenschaften,0,0,0,0,0,0,0,1,0,1768126943.1369872,1.947998046875,0,0.0,0,0,0,0,io_few_shot,1
3,Programmieren lernen für Kinder und Einsteiger:innen,Datenschutz,0,0,0,0,0,0,0,1,0,1768127000.4709463,1.4852166175842283,0,0.0,0,0,0,0,io_few_shot,1
4,"Im Kleinsten wird unsere Welt durch die Quantentheorie beschrieben, wie sie vor 100 Jahren formuliert wurde. Ihre Gesetze faszinieren heute nicht weniger als damals, denn sie widersprechen unserer Alltagserfahrung auf bizarre Weise: Teilchen können an verschiedenen Orten gleichzeitig sein sowie durch Barrieren „tunneln“. Und bei der Messung des einen Quantensystems verändert sich auch der Zustand eines anderen, wenn dieses mit dem ersten „verschränkt“ ist. Erkunden Sie die faszinierenden Eigenschaften der Quantenwelt mit Hilfe interaktiver Simulationen und Visualisierungen.",Eine Veranstaltung über Quantenphysik mit interaktiven Simulationen,0,0,0,0,0,0,0,1,0,1768127055.906206,1.9248790740966797,0,0.05479452054794521,0,0,0,0,io_few_shot,1
5,https://www.langenachtderwissenschaften.de/programm/detail/51248,,0,0,0,0,0,0,0,1,0,1768127091.8257873,1.8299624919891355,0,0.0,1,0,0,0,io_few_shot,1
6,"Unsere Forschungsgruppe baut Organoide, organähnliche Strukturen, aus humanen Stammzellen, um Tierexperimente in der Forschung zu reduzieren. Durch die Kombination von Organoiden simulieren wir in sogenannten Organ-Chips die komplexen Organ-Interaktionen des menschlichen Körpers. Wir erklären Konzept und Funktionsweise solcher Organ-Chips. Es werden Anwendungsgebiete in der Aufklärung pathologischer Prozesse und in der Medikamenten-Entwicklung zur Reduktion von Tierexperimenten dargestellt. Besucher:innen können Organ-Chips zusammenbauen und die magnetische Zellsortierung ausprobieren.",Organ-on-a-Chip-Technologie,0,0,0,0,0,0,0,1,0,1768127159.8976655,2.030527114868164,0,0.0,0,0,0,0,io_few_shot,1
7,https://www.langenachtderwissenschaften.de/programm/detail/51514,https://www.fsttu.be/,0,0,0,0,0,0,0,1,0,1768127237.0027602,2.0235016345977783,0,0.0,0,0,0,0,io_few_shot,1
8,"Gestalte Straßen, Radwege, Brücken und mehr mit Klemmbausteinen, und lerne spielerisch, wie moderne Verkehrsplanung funktioniert. Ihr lernt die Funktionen von Straßen kennen, die passenden Verkehrsmittel, um verschiedene Orte zu erreichen, sowie ein Konzept, wie Verkehr nachhaltiger werden kann. Für Kinder ab 6 Jahren und Erwachsene – für alle Altersgruppen ist etwas dabei! Jeder Gast erhält Bausteine, um unsere Stadt wachsen zu lassen. Komm vorbei, und werde Verkehrsplaner:in für einen Abend!",Volkswagen Typ 1,0,0,0,0,0,0,0,1,0,1768127281.0414093,2.217694044113159,0,0.0,0,0,0,0,io_few_shot,1
9,"Testen Sie Ihr Wissen über das Universum, und gewinnen Sie kleine Preise – solange der Vorrat reicht! Geeignet ab 6 Jahren.",Astronomie,0,0,0,0,0,0,0,1,0,1768127347.705104,1.6594598293304443,0,0.0,0,0,0,0,io_few_shot,1
10,Chatbots zur Stärkung der Demokratie,,0,0,0,0,0,0,0,1,0,1768127415.6540525,1.8928329944610596,0,0.0,1,0,0,0,io_few_shot,1
11,Live-Musik,Workshop,0,0,0,0,0,0,0,1,0,1768127472.704648,1.519378900527954,0,0.0,0,0,0,0,io_few_shot,1
12,17:00-21:30 Uhr,,0,0,0,0,0,0,0,1,0,1768127517.410438,1.9399237632751465,0,0.0,1,0,0,0,io_few_shot,1
13,https://www.langenachtderwissenschaften.de/programm/detail/51498,https://www.youtube.com/watch?v=dE8p2BQbw1M,0,0,0,0,0,0,0,1,0,1768127557.7364757,2.4132776260375977,0,0.0,0,0,0,0,io_few_shot,1
14,25,50. Reunited,0,0,0,0,0,0,0,1,0,1768127604.8763957,1.6336016654968262,0,0.0,0,0,0,0,io_few_shot,1
15,https://www.langenachtderwissenschaften.de/programm/detail/51151,https://www.admiral-haus.de/veranstaltungen/,0,0,0,0,0,0,0,1,0,1768127633.3722208,1.9545190334320068,0,0.0,0,0,0,0,io_few_shot,1
16,Juri Mertens,,0,0,0,0,0,0,0,1,0,1768127682.4177902,1.9132030010223389,0,0.0,1,0,0,0,io_few_shot,1
17,"Wissensmarkt (HZA)
Verlängerte Hertzallee
10623 Berlin
","Berlin, Deutschland",0,0,0,0,0,0,0,1,0,1768127731.4936583,1.495560884475708,0,0.25,0,0,0,0,io_few_shot,1
18,https://www.langenachtderwissenschaften.de/programm/detail/51348,https://www.querx.info,0,0,0,0,0,0,0,1,0,1768127782.500891,2.000152111053467,0,0.0,0,0,0,0,io_few_shot,1
19,17:30-23:15 Uhr,,0,0,0,0,0,0,0,1,0,1768127833.6491325,1.59112548828125,0,0.0,1,0,0,0,io_few_shot,1
20,"Das Open-Battery-Projekt bietet eine offene Transferplattform für Software- und Hardwarekomponenten, die um ein batteriegestütztes Photovoltaiksystem mit Netzanschluss angesiedelt sind. Dieser quelloffene Ansatz des Projekts ermöglicht es Privatpersonen, Vereinen, Communitys oder Unternehmen auf der ganzen Welt, an der Energiewende teilzunehmen und sie mitzugestalten. Aktuell befindet sich das Open-Battery-Projekt in der Entwicklungsphase. Hardware- und Softwarekomponenten werden zusammen mit Student:innen ausgelegt, aufgebaut und getestet.",Open Battery ist eine Open-Source-Hardware-Plattform für die Entwicklung kostengünstiger Energie- und Speichersysteme.,0,0,0,0,0,0,0,1,0,1768127884.6404593,2.354545831680298,0,0.06557377049180327,0,0,0,0,io_few_shot,1
21,23:30-00:00 Uhr,,0,0,0,0,0,0,0,1,0,1768127935.103372,1.8857524394989016,0,0.0,1,0,0,0,io_few_shot,1
22,Studentisches Projekt „Automatisiertes Fahren“,Intermodell,0,0,0,0,0,0,0,1,0,1768128011.4072948,1.943983554840088,0,0.0,0,0,0,0,io_few_shot,1
23,Science Slam – Brainpower mit Entertainment-Faktor,The Late Show with Stephen Colbert,0,0,0,0,0,0,0,1,0,1768128065.351366,1.9532325267791748,0,0.0,0,0,0,0,io_few_shot,1
24,Turbulentes Chaos: Wie können numerische Simulationen helfen?,The Late Show with Stephen Colbert,0,0,0,0,0,0,0,1,0,1768128098.917713,1.8838660717010496,0,0.0,0,0,0,0,io_few_shot,1
25,Science Slam – Brainpower mit Entertainment-Faktor,The Tonight Show,0,0,0,0,0,0,0,1,0,1768128170.2064097,1.6582765579223633,0,0.0,0,0,0,0,io_few_shot,1
26,Turbulentes Chaos: Wie können numerische Simulationen helfen?,Sesamstraße,0,0,0,0,0,0,0,1,0,1768128242.544634,1.6441771984100342,0,0.0,0,0,0,0,io_few_shot,1
27,⚡ Blitztastisch! Die elektrisierende Energieshow für Kinder,,0,0,0,0,0,0,0,1,0,1768128295.4146214,1.5409576892852783,0,0.0,1,0,0,0,io_few_shot,1
28,Papier macht kreativ – Blumen basteln in der Gartenbaubibliothek,,0,0,0,0,0,0,0,1,0,1768128337.6266773,1.5557680130004885,0,0.0,1,0,0,0,io_few_shot,1
29,Quantum Walks vs. Drunkard‘s Walk – wie Quantenteilchen schneller ans Ziel kommen,,0,0,0,0,0,0,0,1,0,1768128413.4532895,1.9205081462860107,0,0.0,1,0,0,0,io_few_shot,1
30,Lokfahren für Anfänger:innen,,0,0,0,0,0,0,0,1,0,1768128468.054711,1.8967077732086184,0,0.0,1,0,0,0,io_few_shot,1
