question_index,expected_answer,answer,has_err_agent,has_err_graph,has_err_tog,has_err_instruction,has_err_other,is_kg_based_answer,kg_calls,agent_calls,reached_depth,start_timestamp,duration,exact_match,f1,is_no_answer,method,rep,model,questions
0,https://www.langenachtderwissenschaften.de/programm/detail/51327,,0,0,0,1,0,0,4,2,1,1768605505.1351583,13.795031547546388,0,0.0,1,formatog_noctx_d3_p3,1,llama3.1:8b,lndw25
1,"Im Kleinsten wird unsere Welt durch die Quantentheorie beschrieben, wie sie vor 100 Jahren formuliert wurde. Ihre Gesetze faszinieren heute nicht weniger als damals, denn sie widersprechen unserer Alltagserfahrung auf bizarre Weise: Teilchen können an verschiedenen Orten gleichzeitig sein sowie durch Barrieren „tunneln“. Und bei der Messung des einen Quantensystems verändert sich auch der Zustand eines anderen, wenn dieses mit dem ersten „verschränkt“ ist. Erkunden Sie die faszinierenden Eigenschaften der Quantenwelt mit Hilfe interaktiver Simulationen und Visualisierungen.",Lange Nacht der Wissenschaften 2025,0,0,0,0,0,1,6,2,1,1768605547.8512578,13.44266653060913,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,lndw25
2,"Wie kann man Dinge zum Schweben bringen? Student:innen des Projektlabors Physik zeigen euch physikalische Zaubertricks, die Alltagsgegenstände schwerelos machen können. Auch lebendige Flüssigkeiten und optische Täuschungen laden zum Mitmachen und Anfassen ein. Geeignet für Kinder ab 6 Jahren.",,0,0,0,1,0,0,3,2,1,1768605589.832084,14.140867471694946,0,0.0,1,formatog_noctx_d3_p3,1,llama3.1:8b,lndw25
3,Programmieren lernen für Kinder und Einsteiger:innen,Veranstaltung,0,0,0,0,0,1,4,3,1,1768605638.1694682,18.982563495635983,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,lndw25
4,"Im Kleinsten wird unsere Welt durch die Quantentheorie beschrieben, wie sie vor 100 Jahren formuliert wurde. Ihre Gesetze faszinieren heute nicht weniger als damals, denn sie widersprechen unserer Alltagserfahrung auf bizarre Weise: Teilchen können an verschiedenen Orten gleichzeitig sein sowie durch Barrieren „tunneln“. Und bei der Messung des einen Quantensystems verändert sich auch der Zustand eines anderen, wenn dieses mit dem ersten „verschränkt“ ist. Erkunden Sie die faszinierenden Eigenschaften der Quantenwelt mit Hilfe interaktiver Simulationen und Visualisierungen.",Quantenphysik,0,0,0,0,0,1,4,2,1,1768605684.6811569,12.372382640838625,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,lndw25
5,https://www.langenachtderwissenschaften.de/programm/detail/51248,,0,0,0,1,0,0,1,2,1,1768605716.5049832,7.90536642074585,0,0.0,1,formatog_noctx_d3_p3,1,llama3.1:8b,lndw25
6,"Unsere Forschungsgruppe baut Organoide, organähnliche Strukturen, aus humanen Stammzellen, um Tierexperimente in der Forschung zu reduzieren. Durch die Kombination von Organoiden simulieren wir in sogenannten Organ-Chips die komplexen Organ-Interaktionen des menschlichen Körpers. Wir erklären Konzept und Funktionsweise solcher Organ-Chips. Es werden Anwendungsgebiete in der Aufklärung pathologischer Prozesse und in der Medikamenten-Entwicklung zur Reduktion von Tierexperimenten dargestellt. Besucher:innen können Organ-Chips zusammenbauen und die magnetische Zellsortierung ausprobieren.",Alternative zu Tierversuchen,0,0,0,1,0,0,5,3,1,1768605752.448204,20.443766117095947,0,0.03278688524590164,0,formatog_noctx_d3_p3,1,llama3.1:8b,lndw25
7,https://www.langenachtderwissenschaften.de/programm/detail/51514,https://fsttub.tu-berlin.de/,0,0,0,1,0,0,6,3,1,1768605803.2213762,21.035699129104614,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,lndw25
8,"Gestalte Straßen, Radwege, Brücken und mehr mit Klemmbausteinen, und lerne spielerisch, wie moderne Verkehrsplanung funktioniert. Ihr lernt die Funktionen von Straßen kennen, die passenden Verkehrsmittel, um verschiedene Orte zu erreichen, sowie ein Konzept, wie Verkehr nachhaltiger werden kann. Für Kinder ab 6 Jahren und Erwachsene – für alle Altersgruppen ist etwas dabei! Jeder Gast erhält Bausteine, um unsere Stadt wachsen zu lassen. Komm vorbei, und werde Verkehrsplaner:in für einen Abend!",SimCity von Electronic Arts,0,0,0,1,0,0,9,4,2,1768605856.647611,24.48084783554077,0,0.028571428571428574,0,formatog_noctx_d3_p3,1,llama3.1:8b,lndw25
9,"Testen Sie Ihr Wissen über das Universum, und gewinnen Sie kleine Preise – solange der Vorrat reicht! Geeignet ab 6 Jahren.",Astro-Quiz,0,0,0,0,0,1,4,2,1,1768605914.8739495,10.732401847839355,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,lndw25
10,Chatbots zur Stärkung der Demokratie,Seminar oder Prüfung,0,0,0,1,0,0,3,2,1,1768605522.6834302,10.711651802062988,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,lndw25
11,Live-Musik,Veranstaltung,0,0,0,0,0,1,4,2,1,1768605574.6350074,10.610057592391968,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,lndw25
12,17:00-21:30 Uhr,Haus des Lernens (MAR) Marchstraße 23 10587 Berlin Raum MAR 1.001 (1. OG),0,0,0,0,0,1,4,3,1,1768605626.4566596,22.895241737365723,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,lndw25
13,https://www.langenachtderwissenschaften.de/programm/detail/51498,https://www.langenachtderwissenschaften.de/programm,0,0,0,0,0,1,4,2,1,1768605672.893638,13.4776873588562,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,lndw25
14,25,2025,0,0,0,0,0,1,3,2,1,1768605711.100109,10.356986045837402,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,lndw25
15,https://www.langenachtderwissenschaften.de/programm/detail/51151,https://www.dlr.de/,0,0,0,0,0,1,4,1,1,1768605740.477093,5.178270101547241,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,lndw25
16,Juri Mertens,Universitätsbibliothek,0,0,0,1,0,0,4,3,1,1768605780.9534843,19.107288360595703,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,lndw25
17,"Wissensmarkt (HZA)
Verlängerte Hertzallee
10623 Berlin
",Hamburg,0,0,0,1,0,0,4,3,1,1768605833.6223786,17.371965646743774,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,lndw25
18,https://www.langenachtderwissenschaften.de/programm/detail/51348,Technische Universität Berlin,0,0,0,0,0,1,4,2,1,1768605874.587498,13.832446575164797,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,lndw25
19,17:30-23:15 Uhr,20:30-21:15 Uhr,0,0,0,0,0,1,4,3,1,1768605926.7002988,18.657755374908447,0,0.5,0,formatog_noctx_d3_p3,1,llama3.1:8b,lndw25
