question_index,expected_answer,answer,has_err_agent,has_err_graph,has_err_tog,has_err_instruction,has_err_other,is_kg_based_answer,kg_calls,agent_calls,reached_depth,start_timestamp,duration,exact_match,f1,is_no_answer,method,rep,model,questions
0,2014 World Series,Giants in 2010,0,0,1,0,0,0,0,1,0,1768605966.9409442,3.4031224250793457,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
1,Belmont University,West Virginia University,0,0,0,0,0,1,5,3,1,1768606005.7897232,28.357661247253414,0,0.4,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
2,Judaism,Judaism,0,0,0,0,0,1,4,2,1,1768606219.1634097,16.361960887908936,1,1.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
3,Germany,Netherlands,0,0,0,1,0,0,5,3,1,1768606295.3089223,27.494144916534424,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
4,Sunni Islam,"Islam, Sunni Islam and Shia Islam",0,0,0,1,0,0,1,2,1,1768606523.4884648,10.011068105697632,0,0.5,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
5,Guatemala,Guatemala,0,0,0,1,0,0,5,3,1,1768606577.37793,23.358755111694336,1,1.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
6,Abdullah al-Thani,Bechir Laribi,0,0,0,0,0,1,4,3,1,1768606645.4181304,25.863520860671997,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
7,University of Northern Colorado,University of Northern Colorado,0,0,0,1,0,0,5,3,1,1768606708.648892,23.471960067749023,1,1.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
8,Spanish Language,Spanish,0,0,0,1,0,0,7,4,2,1768606777.938465,28.113849401474,0,0.6666666666666666,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
9,Parliamentary system,Unitary parliamentary constitutional republic,0,0,0,1,0,0,4,3,1,1768606936.1376362,80.09274315834045,0,0.3333333333333333,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
10,Mozambique,Brazil,0,0,0,1,0,0,4,3,1,1768607181.992324,129.87326836586,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
11,French,"French, Wayana, and others",0,0,0,1,0,0,4,3,1,1768607361.254387,24.26255702972412,0,0.4,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
12,Michael Connor Humphreys,Macaulay Culkin,0,0,0,1,0,0,7,4,2,1768607439.085153,31.334254264831543,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
13,Denmark,Denmark,0,0,0,0,0,1,5,3,1,1768607551.414745,30.96252179145813,1,1.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
14,2014 World Series,,0,0,0,1,0,0,7,4,2,1768607663.9685476,29.432621240615845,0,0.0,1,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
15,1964 NBA Finals,That year was not specified but the 2011-12 team and other years coached by Brad Stevens were mentioned.,0,0,0,0,0,1,4,3,1,1768607744.084638,27.201167345046997,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
16,East Germany,Germany,0,0,0,0,0,1,5,3,1,1768608139.2889042,109.2308566570282,0,0.6666666666666666,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
17,Greater Antilles,Eastern Standard Time (EST) Zone,0,0,0,0,0,1,5,3,1,1768608348.311916,131.27088236808777,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
18,Newton Heath L&YR F.C.,Manchester United F.C.,0,0,0,0,0,1,2,2,1,1768608533.5906076,12.702276468276978,0,0.28571428571428575,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
19,Robert F. Kennedy,Ted Kennedy,0,0,0,0,0,1,11,6,2,1768608614.776827,55.01055979728699,0,0.4,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
20,Confederate States of America,Confederate Army,0,0,0,0,0,1,5,3,1,1768608742.961703,35.62064170837402,0,0.3333333333333333,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
21,India,Indonesia,0,0,1,0,0,0,1,1,1,1768608940.7717562,3.045886516571045,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
22,Spain national football team,Football,0,0,0,1,0,0,5,3,1,1768609090.530215,29.788697481155396,0,0.4,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
23,In the Land of Blood and Honey,In the Land of Blood and Honey,0,0,0,0,0,1,4,3,1,1768609352.8398552,29.439123153686523,1,1.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
24,The Lorax,,0,0,1,0,0,0,0,1,0,1768609525.308987,3.2279093265533447,0,0.0,1,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
25,Gymnastics at the 2012 Summer Olympics – Women's artistic team all-around,gold medal,0,0,0,0,0,1,10,5,2,1768609571.8442416,47.11513900756836,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
26,University of Missouri,University of Missouri,0,0,0,0,0,1,5,3,1,1768609669.6882951,26.21887445449829,1,1.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
27,Blue Ivy,Christina Aguilera,0,0,0,1,0,0,4,3,1,1768609754.6120377,22.147199630737305,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
28,Communist state,Socialist Republic,0,0,0,1,0,0,1,2,1,1768609822.288727,11.0721275806427,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
29,Denmark,Denmark,0,0,0,0,0,1,5,3,1,1768609898.5461044,137.88972234725952,1,1.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
30,Texas Rangers,"Texas Rangers, Tampa Bay Rays",0,0,0,1,0,0,8,4,2,1768610120.9647691,27.263395071029663,0,0.5714285714285715,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
31,Temple University,"University of California, Berkeley",0,0,0,0,0,1,4,3,1,1768610200.2896495,26.251746892929077,0,0.3333333333333333,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
32,The Journey,Frost/Nixon,0,0,0,1,0,0,1,2,1,1768610257.9321904,13.63173222541809,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
33,Sunni Islam,"Islam, Buddhism, and Animism",0,0,0,0,0,1,4,3,1,1768610415.1076071,28.411108016967773,0,0.3333333333333333,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
34,Janet Napolitano,Jan Brewer,0,0,0,1,0,0,17,9,3,1768610529.967923,120.03173637390135,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
35,Iowa,South Dakota and North Dakota,0,0,0,1,0,0,5,3,1,1768610720.1412814,26.32848024368286,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
36,John Kasich,Ted Strickland,0,0,0,1,0,0,5,3,1,1768610841.6422768,60.339876890182495,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
37,Guatemala,Panama,0,0,0,1,0,0,4,3,1,1768610963.5710044,26.85161018371582,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
38,Seattle Mariners,Seattle Mariners,0,0,0,1,0,0,5,3,1,1768611091.520173,20.70027184486389,1,1.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
39,Islam,Islam,0,0,0,1,0,0,5,3,1,1768611157.1301136,28.063878774642944,1,1.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
40,India,"Anadyr, Russia",0,0,1,0,0,0,0,1,0,1768611297.7417665,2.950488328933716,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
41,Northern Ireland,Northern Ireland,0,0,0,1,0,0,5,3,1,1768611330.1163456,26.04787850379944,1,1.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
42,1973 NBA Finals,2012 NBA Championship,0,0,0,1,0,0,4,3,1,1768611532.2344854,24.138731241226196,0,0.3333333333333333,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
43,Argentine peso,Argentine peso,0,0,0,1,0,0,1,2,1,1768611590.897199,14.640939712524414,1,1.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
44,2014 World Series,"Sox-Art was not correct, it's actually the San Francisco Giants that have a mascot named Lou Seal and they won the World Series in 2010, 2012 and 2014",0,0,1,0,0,0,0,1,0,1768611769.5559905,5.854444980621338,0,0.21428571428571425,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
45,Judy Garland,Judy Garland,0,0,0,1,0,0,4,3,1,1768611813.424657,22.714483737945557,1,1.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
46,Hailemariam Desalegn,Prime Minister of Ethiopia,0,0,0,0,0,1,5,3,1,1768611992.321933,26.771965265274048,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
47,United States of America,Kentucky,0,0,0,0,0,1,4,3,1,1768612077.0005858,25.83344769477844,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
48,Miller Park,Wrigley Field,0,0,0,0,0,1,4,1,1,1768612179.557552,10.362692832946776,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
49,Busch Stadium,Busch Memorial Stadium,0,0,0,0,0,1,3,2,1,1768612261.1069498,15.845134019851685,0,0.8,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
50,French,Haitian Creole,0,0,0,0,0,1,4,3,1,1768612319.5372474,31.90461039543152,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
51,Mecklenburg County,Bristol County,0,0,0,0,0,1,2,2,1,1768612396.4229455,12.785279512405396,0,0.5,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
52,Kunsthistorisches Museum,Kunsthistorisches Museum,0,0,0,0,0,1,10,6,2,1768612567.1831825,111.40574479103088,1,1.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
53,Glen Dale,Nashville,0,0,0,0,0,1,3,1,1,1768612712.2974482,4.9274537563323975,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
54,Islam,Islam,0,0,0,0,0,1,3,2,1,1768612930.647427,16.215552806854248,1,1.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
55,Professor,Miner,0,0,0,0,0,1,4,3,1,1768613016.7199366,26.38893437385559,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
56,Al Gore,,0,0,1,0,0,0,0,1,0,1768613066.789403,3.0551095008850098,0,0.0,1,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
57,2014 World Series,2010,0,0,0,1,0,0,3,4,2,1768613106.8995135,21.10622549057007,0,0.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
58,Dominican peso,Dominican Peso,0,0,0,0,0,1,4,3,1,1768613192.3008313,36.1503005027771,1,1.0,0,formatog_noctx_d3_p3,1,llama3.1:8b,cwq
