question_index,expected_answer,answer,has_err_agent,has_err_graph,has_err_tog,has_err_instruction,has_err_other,is_kg_based_answer,kg_calls,agent_calls,reached_depth,start_timestamp,duration,exact_match,f1,is_no_answer,method,rep,model,questions
0,https://www.langenachtderwissenschaften.de/programm/detail/51327,,0,0,0,1,0,0,12,6,3,1768687014.6116288,91.94365787506104,0,0.0,1,formatog_noctx_d3_p3,1,llama3.3:70b,lndw25
1,"Im Kleinsten wird unsere Welt durch die Quantentheorie beschrieben, wie sie vor 100 Jahren formuliert wurde. Ihre Gesetze faszinieren heute nicht weniger als damals, denn sie widersprechen unserer Alltagserfahrung auf bizarre Weise: Teilchen können an verschiedenen Orten gleichzeitig sein sowie durch Barrieren „tunneln“. Und bei der Messung des einen Quantensystems verändert sich auch der Zustand eines anderen, wenn dieses mit dem ersten „verschränkt“ ist. Erkunden Sie die faszinierenden Eigenschaften der Quantenwelt mit Hilfe interaktiver Simulationen und Visualisierungen.",Flugsimulator MARS,0,0,0,0,0,1,6,2,1,1768687206.9527838,47.74960803985596,0,0.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,lndw25
2,"Wie kann man Dinge zum Schweben bringen? Student:innen des Projektlabors Physik zeigen euch physikalische Zaubertricks, die Alltagsgegenstände schwerelos machen können. Auch lebendige Flüssigkeiten und optische Täuschungen laden zum Mitmachen und Anfassen ein. Geeignet für Kinder ab 6 Jahren.",,0,0,0,1,0,0,3,2,1,1768687404.4839294,42.32998275756836,0,0.0,1,formatog_noctx_d3_p3,1,llama3.3:70b,lndw25
3,Programmieren lernen für Kinder und Einsteiger:innen,Datenschutzkonferenz,0,0,0,1,0,0,10,6,2,1768687628.6501849,91.81097388267516,0,0.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,lndw25
4,"Im Kleinsten wird unsere Welt durch die Quantentheorie beschrieben, wie sie vor 100 Jahren formuliert wurde. Ihre Gesetze faszinieren heute nicht weniger als damals, denn sie widersprechen unserer Alltagserfahrung auf bizarre Weise: Teilchen können an verschiedenen Orten gleichzeitig sein sowie durch Barrieren „tunneln“. Und bei der Messung des einen Quantensystems verändert sich auch der Zustand eines anderen, wenn dieses mit dem ersten „verschränkt“ ist. Erkunden Sie die faszinierenden Eigenschaften der Quantenwelt mit Hilfe interaktiver Simulationen und Visualisierungen.",Quantenphysik,0,0,0,0,0,1,4,2,1,1768687823.9088917,34.552215576171875,0,0.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,lndw25
5,https://www.langenachtderwissenschaften.de/programm/detail/51248,,0,0,0,1,0,0,7,4,2,1768687988.6910272,56.082385540008545,0,0.0,1,formatog_noctx_d3_p3,1,llama3.3:70b,lndw25
6,"Unsere Forschungsgruppe baut Organoide, organähnliche Strukturen, aus humanen Stammzellen, um Tierexperimente in der Forschung zu reduzieren. Durch die Kombination von Organoiden simulieren wir in sogenannten Organ-Chips die komplexen Organ-Interaktionen des menschlichen Körpers. Wir erklären Konzept und Funktionsweise solcher Organ-Chips. Es werden Anwendungsgebiete in der Aufklärung pathologischer Prozesse und in der Medikamenten-Entwicklung zur Reduktion von Tierexperimenten dargestellt. Besucher:innen können Organ-Chips zusammenbauen und die magnetische Zellsortierung ausprobieren.",Anwendung von kombinierten Organmodellen als Alternative zu Tierversuchen,0,0,0,0,0,1,5,2,1,1768688129.589257,44.7650728225708,0,0.0606060606060606,0,formatog_noctx_d3_p3,1,llama3.3:70b,lndw25
7,https://www.langenachtderwissenschaften.de/programm/detail/51514,https://www.tu.berlin/de/fasttube,0,0,0,1,0,0,15,8,3,1768688435.559173,158.18660855293274,0,0.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,lndw25
8,"Gestalte Straßen, Radwege, Brücken und mehr mit Klemmbausteinen, und lerne spielerisch, wie moderne Verkehrsplanung funktioniert. Ihr lernt die Funktionen von Straßen kennen, die passenden Verkehrsmittel, um verschiedene Orte zu erreichen, sowie ein Konzept, wie Verkehr nachhaltiger werden kann. Für Kinder ab 6 Jahren und Erwachsene – für alle Altersgruppen ist etwas dabei! Jeder Gast erhält Bausteine, um unsere Stadt wachsen zu lassen. Komm vorbei, und werde Verkehrsplaner:in für einen Abend!",Veranstaltung zum autonomen Fahren und Verkehrsplanung,0,0,0,0,0,1,5,2,1,1768688730.0727367,43.33261823654175,0,0.05555555555555555,0,formatog_noctx_d3_p3,1,llama3.3:70b,lndw25
9,"Testen Sie Ihr Wissen über das Universum, und gewinnen Sie kleine Preise – solange der Vorrat reicht! Geeignet ab 6 Jahren.",Astronomie,0,0,0,0,0,1,10,5,2,1768688934.5512216,96.565936088562,0,0.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,lndw25
10,Chatbots zur Stärkung der Demokratie,,0,0,0,0,0,0,18,8,3,1768689222.5771706,156.89752912521362,0,0.0,1,formatog_noctx_d3_p3,1,llama3.3:70b,lndw25
11,Live-Musik,Musik-Workshop,0,0,0,1,0,0,2,2,1,1768689535.3544905,22.968997716903687,0,0.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,lndw25
12,17:00-21:30 Uhr,17:00-21:30 Uhr,0,0,0,0,0,1,4,3,1,1768689670.6857593,56.80074191093445,1,1.0,0,formatog_noctx_d3_p3,1,llama3.3:70b,lndw25
