metric,method,count,mean,std,min,25%,50%,75%,max,sum
has_err,cot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err,formatog_d3_p3,100.0,0.43,0.497569851956243,0.0,0.0,0.0,1.0,1.0,43.0
has_err,formatog_noctx_d3_p3,100.0,0.47,0.5016135580465918,0.0,0.0,0.0,1.0,1.0,47.0
has_err,io_few_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err,io_zero_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err,tog_d3_p3,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0
has_err_and_correct,cot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,formatog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,formatog_noctx_d3_p3,100.0,0.01,0.09999999999999999,0.0,0.0,0.0,0.0,1.0,1.0
has_err_and_correct,io_few_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,io_zero_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_and_correct,tog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_instruction,cot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_instruction,formatog_d3_p3,100.0,0.38,0.4878317312145634,0.0,0.0,0.0,1.0,1.0,38.0
has_err_instruction,formatog_noctx_d3_p3,100.0,0.41,0.49431107042371025,0.0,0.0,0.0,1.0,1.0,41.0
has_err_instruction,io_few_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_instruction,io_zero_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_instruction,tog_d3_p3,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0
has_err_format,cot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_noctx_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,io_few_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,io_zero_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,tog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,cot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_noctx_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,io_few_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,io_zero_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,tog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_other,cot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_other,formatog_d3_p3,100.0,0.05,0.21904291355759029,0.0,0.0,0.0,0.0,1.0,5.0
has_err_other,formatog_noctx_d3_p3,100.0,0.06,0.23868325657594203,0.0,0.0,0.0,0.0,1.0,6.0
has_err_other,io_few_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_other,io_zero_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_other,tog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,cot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_noctx_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,io_few_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,io_zero_shot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,tog_d3_p3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_based_answer,cot,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
