question_index,expected_answer,answer,has_err_instruction,has_err_format,has_err_graph,has_err_other,has_err_agent,is_kg_based_answer,kg_calls,agent_calls,reached_depth,start_timestamp,duration,exact_match,f1,is_no_answer,is_kg_and_correct,has_err,has_err_and_correct,method,rep
0,https://www.langenachtderwissenschaften.de/programm/detail/51327,https://www.physik.hu-berlin.de/de/abteilungen/agphysik/forschung/fachgebiet-theoretische-photonik/seminar/quantenfeldtheorie-seminar/,0,0,0,0,0,0,0,1,0,1767983135.9319408,7.653654098510742,0,0.0,0,0,0,0,io_few_shot,1
1,"Im Kleinsten wird unsere Welt durch die Quantentheorie beschrieben, wie sie vor 100 Jahren formuliert wurde. Ihre Gesetze faszinieren heute nicht weniger als damals, denn sie widersprechen unserer Alltagserfahrung auf bizarre Weise: Teilchen können an verschiedenen Orten gleichzeitig sein sowie durch Barrieren „tunneln“. Und bei der Messung des einen Quantensystems verändert sich auch der Zustand eines anderen, wenn dieses mit dem ersten „verschränkt“ ist. Erkunden Sie die faszinierenden Eigenschaften der Quantenwelt mit Hilfe interaktiver Simulationen und Visualisierungen.",Langenacht der Wissenschaften,0,0,0,0,0,0,0,1,0,1767983224.2827413,3.1601450443267822,0,0.0,0,0,0,0,io_few_shot,1
2,"Wie kann man Dinge zum Schweben bringen? Student:innen des Projektlabors Physik zeigen euch physikalische Zaubertricks, die Alltagsgegenstände schwerelos machen können. Auch lebendige Flüssigkeiten und optische Täuschungen laden zum Mitmachen und Anfassen ein. Geeignet für Kinder ab 6 Jahren.",,0,0,0,0,0,0,0,1,0,1767983290.5103106,4.087128162384033,0,0.0,1,0,0,0,io_few_shot,1
3,Programmieren lernen für Kinder und Einsteiger:innen,Datenschutz,0,0,0,0,0,0,0,1,0,1767983360.5636623,3.755158662796021,0,0.0,0,0,0,0,io_few_shot,1
4,"Im Kleinsten wird unsere Welt durch die Quantentheorie beschrieben, wie sie vor 100 Jahren formuliert wurde. Ihre Gesetze faszinieren heute nicht weniger als damals, denn sie widersprechen unserer Alltagserfahrung auf bizarre Weise: Teilchen können an verschiedenen Orten gleichzeitig sein sowie durch Barrieren „tunneln“. Und bei der Messung des einen Quantensystems verändert sich auch der Zustand eines anderen, wenn dieses mit dem ersten „verschränkt“ ist. Erkunden Sie die faszinierenden Eigenschaften der Quantenwelt mit Hilfe interaktiver Simulationen und Visualisierungen.",Quantum Physik,0,0,0,0,0,0,0,1,0,1767983433.1071591,2.9403014183044434,0,0.0,0,0,0,0,io_few_shot,1
5,https://www.langenachtderwissenschaften.de/programm/detail/51248,https://www.sciencemeeting.de/slam/2023-04-06,0,0,0,0,0,0,0,1,0,1767983539.870845,4.711251735687256,0,0.0,0,0,0,0,io_few_shot,1
6,"Unsere Forschungsgruppe baut Organoide, organähnliche Strukturen, aus humanen Stammzellen, um Tierexperimente in der Forschung zu reduzieren. Durch die Kombination von Organoiden simulieren wir in sogenannten Organ-Chips die komplexen Organ-Interaktionen des menschlichen Körpers. Wir erklären Konzept und Funktionsweise solcher Organ-Chips. Es werden Anwendungsgebiete in der Aufklärung pathologischer Prozesse und in der Medikamenten-Entwicklung zur Reduktion von Tierexperimenten dargestellt. Besucher:innen können Organ-Chips zusammenbauen und die magnetische Zellsortierung ausprobieren.",Alternative zu Tierversuchen,0,0,0,0,0,0,0,1,0,1767983658.1129265,3.6146903038024902,0,0.03278688524590164,0,0,0,0,io_few_shot,1
7,https://www.langenachtderwissenschaften.de/programm/detail/51514,https://fsttue.de/,0,0,0,0,0,0,0,1,0,1767983771.715449,3.204589605331421,0,0.0,0,0,0,0,io_few_shot,1
8,"Gestalte Straßen, Radwege, Brücken und mehr mit Klemmbausteinen, und lerne spielerisch, wie moderne Verkehrsplanung funktioniert. Ihr lernt die Funktionen von Straßen kennen, die passenden Verkehrsmittel, um verschiedene Orte zu erreichen, sowie ein Konzept, wie Verkehr nachhaltiger werden kann. Für Kinder ab 6 Jahren und Erwachsene – für alle Altersgruppen ist etwas dabei! Jeder Gast erhält Bausteine, um unsere Stadt wachsen zu lassen. Komm vorbei, und werde Verkehrsplaner:in für einen Abend!",Volkswagen Simulator City,0,0,0,0,0,0,0,1,0,1767983862.3912218,3.498779296875,0,0.0,0,0,0,0,io_few_shot,1
9,"Testen Sie Ihr Wissen über das Universum, und gewinnen Sie kleine Preise – solange der Vorrat reicht! Geeignet ab 6 Jahren.",Astronomie,0,0,0,0,0,0,0,1,0,1767983971.0460546,3.3852245807647705,0,0.0,0,0,0,0,io_few_shot,1
